Deal_ID,Month,Region,Sales_Rep_ID,Deal_Size_USD,Sales_Cycle_Days,Monthly_Revenue_USD,Deal_Status
D-0103,7,East,REP-017,29081.42,62,33079.53,Pending
D-0104,8,West,REP-030,35260.9,53,31393.54,Lost
D-0105,9,Central,REP-012,39210.47,48,42294.78,Lost
D-0106,10,East,REP-020,38958.58,61,36846.1,Won
D-0107,11,West,REP-004,35980.83,41,38942.76,Won
D-0108,12,Central,REP-009,34063.37,71,36390.55,Lost
D-0109,13,East,REP-006,35998.69,52,36557.75,Lost
D-0110,14,East,REP-016,28783.35,44,23503.36,Won
D-0111,15,East,REP-025,41114.94,70,43915.63,Pending
D-0112,16,East,REP-028,40669.69,52,42711.39,Lost
D-0113,17,Central,REP-022,34064.06,58,35462.15,Pending
D-0114,18,Central,REP-022,32526.5,63,33162.96,Lost
D-0115,19,West,REP-021,29102.9,67,26545.37,Lost
D-0116,20,Central,REP-021,33423.74,61,37043.41,Won
D-0117,21,Central,REP-002,26943.41,54,29363.31,Won
D-0118,22,East,REP-024,18901.94,62,16869.18,Pending
D-0119,23,Central,REP-008,16069.46,58,18181.47,Won
D-0120,24,West,REP-011,25262.51,64,25595.14,Won
D-0121,1,Central,REP-013,38781.89,58,39282.71,Won
D-0122,2,Central,REP-017,39279.86,51,38587.14,Won
D-0123,3,East,REP-008,34806.21,48,34534.75,Pending
D-0124,4,East,REP-021,37569.18,53,42719.53,Pending
D-0125,5,East,REP-018,35108.86,54,38735.87,Won
D-0126,6,West,REP-030,31103.44,40,34250.63,Won
D-0127,7,Central,REP-018,35451.28,49,36105.58,Lost
D-0128,8,Central,REP-014,39404.79,70,42908.55,Lost
D-0129,9,East,REP-015,30189.69,60,27670.93,Pending
D-0130,10,West,REP-006,29811.98,47,31551.34,Lost
D-0131,11,West,REP-011,28853.75,47,28410.88,Won
D-0132,12,East,REP-013,24137.41,48,19165.57,Won
D-0133,13,East,REP-025,31038.99,60,26115.89,Pending
D-0134,14,East,REP-001,36630.43,67,34201.91,Lost
D-0135,15,Central,REP-028,33549.58,60,34942.4,Lost
D-0136,16,East,REP-006,31453.75,57,29371.26,Won
D-0137,17,West,REP-009,32565.32,53,30640.33,Lost
D-0138,18,Central,REP-008,29095.09,60,31315.81,Lost
D-0139,19,West,REP-011,21420.57,51,20231.7,Won
D-0140,20,Central,REP-022,34698.59,43,39316.31,Won
D-0141,21,Central,REP-019,35755.62,73,39921.6,Won
D-0142,22,East,REP-024,26379.22,52,26436.94,Won
D-0143,23,West,REP-009,28885.82,58,31062.26,Won
D-0144,24,East,REP-017,28075,67,29807.91,Won
D-0145,1,East,REP-012,39756.44,56,38779.77,Lost
D-0146,2,East,REP-025,46069.47,47,50038.97,Won
D-0147,3,West,REP-014,43038.96,36,47381.17,Won
D-0148,4,West,REP-015,34975.43,44,31644.25,Pending
D-0149,5,East,REP-016,39192.32,42,39794.11,Lost
D-0150,6,East,REP-022,42371.78,48,42975.6,Lost
D-0151,7,Central,REP-022,37761.73,59,40970.04,Won
D-0152,8,East,REP-028,35316.5,29,33748.95,Lost
D-0153,9,East,REP-020,37190,47,34966.93,Won
D-0154,10,West,REP-001,31063.64,47,31588.62,Lost
D-0155,11,Central,REP-010,31413.59,42,35124.67,Won
D-0156,12,East,REP-008,28499.83,57,25081.62,Lost
D-0157,13,West,REP-018,34975.32,42,31391.03,Won
D-0158,14,Central,REP-028,32402.99,44,30716.39,Lost
D-0159,15,East,REP-001,28564.41,62,27585.86,Won
D-0160,16,Central,REP-002,31479.1,68,25921.21,Won
D-0161,17,West,REP-001,34269.99,56,39404.31,Won
D-0162,18,West,REP-001,41113.56,48,40577.82,Lost
D-0163,19,West,REP-009,36220.34,52,35205.79,Pending
D-0164,20,West,REP-013,19359.26,67,22500.57,Lost
D-0165,21,East,REP-030,31596.54,60,33864.52,Won
D-0166,22,Central,REP-001,37166.62,59,35176.64,Won
D-0167,23,East,REP-013,22950.63,64,23328.42,Pending
D-0168,24,East,REP-020,32017.8,61,31884.16,Won
D-0169,1,East,REP-026,36816.79,57,42149.15,Lost
D-0170,2,West,REP-022,43371.45,39,42645.31,Pending
D-0171,3,West,REP-007,39261.29,39,33599.57,Pending
D-0172,4,East,REP-002,32439.92,36,26350.22,Won
D-0173,5,West,REP-006,35475.74,43,40708.99,Won
D-0174,6,East,REP-007,35391.52,40,32600.49,Won
D-0175,7,West,REP-026,35104.11,51,37456.83,Lost
D-0176,8,East,REP-014,40936.31,50,41230.09,Won
D-0177,9,West,REP-026,30746.9,42,29465.82,Won
D-0178,10,West,REP-018,39595.26,56,38566.38,Won
D-0179,11,Central,REP-015,32688.75,64,37864.62,Won
D-0180,12,East,REP-002,34937.56,56,29878.38,Lost
D-0181,13,East,REP-010,33801.89,33,32495.6,Lost
D-0182,14,East,REP-023,32950.97,70,35938.2,Won
D-0183,15,Central,REP-012,32611.99,61,28427.4,Won
D-0184,16,Central,REP-017,39586.79,71,44801.49,Pending
D-0185,17,East,REP-008,36132.25,65,39356.15,Won
D-0186,18,West,REP-011,29726.42,68,30534.37,Lost
D-0187,19,Central,REP-029,39073.94,60,37107.9,Pending
D-0188,20,West,REP-003,32153.41,57,27614.74,Won
D-0189,21,West,REP-027,32188.12,62,34463.97,Lost
D-0190,22,East,REP-006,25833.4,55,32934.09,Pending
D-0191,23,East,REP-009,27152.51,64,27548.64,Won
D-0192,24,Central,REP-006,25817.48,41,21103.09,Won
D-0193,1,Central,REP-009,38430.36,45,40188.62,Won
D-0194,2,West,REP-007,40813.92,56,44324.99,Won
D-0195,3,East,REP-009,39076.16,47,35489.55,Lost
D-0196,4,East,REP-018,44800.22,61,41908.31,Pending
D-0197,5,Central,REP-012,32041.21,45,29646.52,Lost
D-0198,6,Central,REP-008,36674.35,56,34725.6,Won
D-0199,7,Central,REP-008,29305.3,42,28800.77,Won
D-0200,8,Central,REP-018,30730.65,57,28085.04,Lost
D-0201,9,West,REP-028,41282.89,52,36181,Won
D-0202,10,East,REP-030,32264.18,49,32826.78,Lost
D-0203,11,East,REP-020,30183.18,31,29631.85,Won
D-0204,12,Central,REP-030,23170.12,51,22159.34,Lost
D-0205,13,West,REP-015,29373.23,55,29617.58,Lost
D-0206,14,East,REP-027,32033.6,61,27163.93,Won
D-0207,15,East,REP-007,25892.99,67,26574.5,Won
D-0208,16,West,REP-011,30986.08,72,29698.03,Won
D-0209,17,East,REP-020,38273.16,66,39189.76,Won
D-0210,18,East,REP-016,28003.47,53,29122.63,Lost
D-0211,19,West,REP-004,26443.08,56,29434.2,Lost
D-0212,20,West,REP-006,25160.49,65,25419.53,Lost
D-0213,21,West,REP-026,24691.18,64,27325.03,Pending
D-0214,22,East,REP-022,32697.89,73,31645.3,Won
D-0215,23,Central,REP-026,29883.34,81,29064.01,Won
D-0216,24,East,REP-003,34044.28,80,33734.73,Won
D-0217,1,East,REP-009,48099.19,56,51822.67,Lost
D-0218,2,Central,REP-028,28468.04,49,30264.26,Won
D-0219,3,West,REP-010,39140.39,57,39669.07,Lost
D-0220,4,Central,REP-014,31266.9,60,27428.16,Won
D-0221,5,West,REP-011,40424.5,46,42902.76,Pending
D-0222,6,West,REP-018,34740.44,44,31747.88,Pending
D-0223,7,East,REP-022,35856.61,43,32572.52,Won
D-0224,8,West,REP-012,28924.11,43,25631.15,Won
D-0225,9,East,REP-023,32827.86,39,32554.84,Lost
D-0226,10,East,REP-012,35028.31,53,39272.78,Won
D-0227,11,Central,REP-013,40980.39,44,37024.31,Won
D-0228,12,West,REP-025,29847.2,46,34857.28,Lost
D-0229,13,Central,REP-013,30686.54,59,33478.44,Won
D-0230,14,West,REP-019,37781.45,56,32247.97,Lost
D-0231,15,Central,REP-026,28383.3,58,27296.86,Lost
D-0232,16,West,REP-019,38011.93,67,34057.73,Won
D-0233,17,West,REP-023,31874.57,63,33994.08,Won
D-0234,18,West,REP-014,33055.61,69,29789.18,Won
D-0235,19,East,REP-004,32997.61,59,27648.3,Lost
D-0236,20,Central,REP-013,27698.9,72,26796.67,Won
D-0237,21,East,REP-008,32349.43,62,36132.36,Pending
D-0238,22,East,REP-029,26158.15,62,25654.56,Won
D-0239,23,West,REP-023,27129.48,73,28210.44,Won
D-0240,24,East,REP-021,32053.45,55,33454.93,Won
D-0241,1,Central,REP-023,39466.97,61,33498.48,Won
D-0242,2,Central,REP-019,37245.18,43,33895.44,Won
D-0243,3,Central,REP-012,30946.34,36,30966.35,Lost
D-0244,4,West,REP-018,31814.21,52,30041.03,Won
D-0245,5,East,REP-006,37863.55,44,44317.21,Won
D-0246,6,Central,REP-018,39760.7,64,34876.81,Won
D-0247,7,West,REP-019,30171.77,46,27428.37,Lost
D-0248,8,Central,REP-022,31140.87,52,32045.65,Lost
D-0249,9,Central,REP-005,35630.93,39,33393.68,Won
D-0250,10,Central,REP-024,35143.94,58,24980.9,Lost
D-0251,11,East,REP-009,26080.21,46,31125.9,Won
D-0252,12,West,REP-027,34627.82,58,30907.73,Lost
D-0253,13,Central,REP-003,30448.16,50,32155.98,Won
D-0254,14,East,REP-028,41265.23,38,36093.09,Won
D-0255,15,East,REP-010,33925.99,56,30998.06,Pending
D-0256,16,West,REP-019,34407.37,56,28823.28,Won
D-0257,17,Central,REP-003,34156.8,64,31625.12,Lost
D-0258,18,West,REP-029,25470.36,70,23829.35,Won
D-0259,19,West,REP-029,40879.38,73,40337.46,Lost
D-0260,20,East,REP-022,22665.44,66,21821,Pending
D-0261,21,West,REP-015,34378.52,62,29422.78,Won
D-0262,22,Central,REP-001,33113.32,49,31378.51,Lost
D-0263,23,East,REP-007,27254.99,63,31198.81,Lost
D-0264,24,West,REP-012,32592.25,63,36921.78,Lost
D-0265,1,Central,REP-017,36412.13,43,38071.39,Won
D-0266,2,Central,REP-030,34242.69,50,36513.32,Pending
D-0267,3,West,REP-021,39587.8,55,47746.14,Won
D-0268,4,Central,REP-026,31827.2,40,33645.32,Won
D-0269,5,West,REP-029,35358.72,41,37636.5,Pending
D-0270,6,East,REP-024,33129.12,47,27945.79,Lost
D-0271,7,Central,REP-020,34040.1,44,30252.7,Won
D-0272,8,Central,REP-005,37503.64,37,37381.04,Won
D-0273,9,Central,REP-004,31988.17,43,29405.31,Won
D-0274,10,Central,REP-028,33618.38,41,30263.42,Won
D-0275,11,West,REP-012,31684.27,62,28888.27,Won
D-0276,12,West,REP-030,41039.98,66,35197.65,Lost
D-0277,13,Central,REP-020,35153.06,45,32371.1,Won
D-0278,14,West,REP-028,34160.35,59,35319.87,Lost
D-0279,15,Central,REP-024,36097.09,62,42581.3,Lost
D-0280,16,Central,REP-018,29329.33,44,31666.82,Won
D-0281,17,Central,REP-017,36216.29,58,38520.21,Won
D-0282,18,East,REP-019,33270.89,78,27869.25,Won
D-0283,19,West,REP-009,23355.55,63,23634.17,Won
D-0284,20,East,REP-004,23639.85,57,23481.55,Lost
D-0285,21,West,REP-026,27538.51,55,28339.17,Won
D-0286,22,East,REP-021,23414.97,44,22570.42,Lost
D-0287,23,West,REP-002,28448.61,65,33176.98,Won
D-0288,24,West,REP-004,24191.31,77,24318.98,Won
D-0289,1,East,REP-002,37511.38,38,38074.89,Won
D-0290,2,West,REP-015,44678.55,30,35910.65,Won
D-0291,3,East,REP-002,36993.12,41,36598.49,Won
D-0292,4,East,REP-004,35345.18,54,39407.26,Won
D-0293,5,Central,REP-006,38421.21,44,40555.8,Pending
D-0294,6,West,REP-007,32617.9,42,25586.82,Lost
D-0295,7,East,REP-010,39937.07,49,38141.2,Won
D-0296,8,West,REP-019,37816.06,52,44365.43,Won
D-0297,9,Central,REP-019,35154.33,39,34624.76,Won
D-0298,10,East,REP-026,35351.58,50,36491.37,Won
D-0299,11,West,REP-022,44408.73,48,51598.54,Won
D-0300,12,East,REP-029,38531.56,48,37935.81,Won
D-0301,13,East,REP-012,44437.63,45,47952.78,Won
D-0302,14,West,REP-003,35720.15,62,37189.66,Won
D-0303,15,West,REP-013,25321.54,50,26904.52,Won
D-0304,16,West,REP-018,30989.13,40,32164.29,Won
D-0305,17,Central,REP-008,23418.98,59,22136.48,Lost
D-0306,18,Central,REP-021,34181.52,63,32650.88,Won
D-0307,19,West,REP-015,34887.02,52,31905.66,Won
D-0308,20,East,REP-001,26350.42,54,22029.72,Lost
D-0309,21,Central,REP-003,27121.82,54,30497.21,Pending
D-0310,22,East,REP-026,30763.75,57,30794.77,Pending
D-0311,23,West,REP-008,23649.48,70,26473.61,Lost
D-0312,24,East,REP-004,22894.2,61,26478,Won
D-0313,1,East,REP-016,44193.16,51,44429.23,Lost
D-0314,2,Central,REP-030,38193.55,37,33176.87,Lost
D-0315,3,Central,REP-023,34449.45,43,33773.6,Won
D-0316,4,West,REP-010,28399.41,54,26493.4,Won
D-0317,5,West,REP-012,40741.76,41,32674.28,Pending
D-0318,6,East,REP-014,32677.41,56,31037.89,Won
D-0319,7,East,REP-014,45023.42,44,44701.34,Won
D-0320,8,East,REP-002,39636.55,47,37086.63,Won
D-0321,9,West,REP-023,30919.29,64,28533.73,Won
D-0322,10,Central,REP-005,31002.64,48,27041.94,Won
D-0323,11,West,REP-005,42809.26,53,43647.98,Lost
D-0324,12,East,REP-006,33398.7,58,39641.82,Lost
D-0325,13,Central,REP-013,30873.44,55,34821,Won
D-0326,14,Central,REP-009,33198.61,56,35368.56,Pending
D-0327,15,West,REP-030,30090.44,55,32122.77,Won
D-0328,16,West,REP-022,33505.24,45,33060.82,Won
D-0329,17,West,REP-028,31540.88,59,25849.29,Lost
D-0330,18,East,REP-029,35917.54,51,34590.63,Lost
D-0331,19,West,REP-015,29217.13,64,26385.18,Lost
D-0332,20,Central,REP-014,26355.92,70,26763.64,Pending
D-0333,21,East,REP-024,28655.08,45,32188.86,Lost
D-0334,22,East,REP-007,28244.58,71,33818.39,Pending
D-0335,23,East,REP-025,29252.33,58,29441.36,Won
D-0336,24,East,REP-020,32432.7,61,27025.66,Lost
D-0337,1,Central,REP-002,40899.54,37,41155.89,Pending
D-0338,2,Central,REP-007,43618.29,47,44010.23,Lost
D-0339,3,West,REP-006,33182.55,47,35435.13,Won
D-0340,4,East,REP-017,38803.6,55,38729.11,Won
D-0341,5,West,REP-027,40116.6,42,40383.45,Lost
D-0342,6,West,REP-025,32728.9,62,30660.23,Won
D-0343,7,East,REP-025,34681.84,54,33600.11,Pending
D-0344,8,West,REP-028,26590.11,50,27954.8,Won
D-0345,9,West,REP-002,39494.29,49,31561.92,Won
D-0346,10,West,REP-003,33502.51,49,32439.51,Pending
D-0347,11,West,REP-005,38232.82,50,40862.86,Won
D-0348,12,East,REP-005,34850.25,54,40568.23,Won
D-0349,13,West,REP-001,32514.17,52,31219.02,Lost
D-0350,14,West,REP-008,25095.99,49,28070.79,Lost
D-0351,15,West,REP-012,25605.24,56,29932.58,Won
D-0352,16,Central,REP-024,19334.27,49,18589.16,Pending
D-0353,17,West,REP-004,29106.93,59,27482.16,Won
D-0354,18,East,REP-013,42931.24,55,42149.58,Lost
D-0355,19,East,REP-023,24720.26,64,24517.68,Won
D-0356,20,West,REP-015,17622.84,67,19545.18,Lost
D-0357,21,East,REP-011,35213.34,67,32488.8,Won
D-0358,22,West,REP-010,41838.59,63,48273.64,Won
D-0359,23,Central,REP-003,31129.61,64,28636.88,Won
D-0360,24,West,REP-022,30703.66,59,26821.41,Lost
D-0361,1,West,REP-014,36450.59,50,38359.79,Won
D-0362,2,West,REP-016,28648.71,52,32174.11,Lost
D-0363,3,West,REP-010,29986.44,33,30522.16,Lost
D-0364,4,West,REP-029,35276.23,50,36811.05,Won
D-0365,5,Central,REP-010,33937.72,58,40570.16,Won
D-0366,6,West,REP-012,35524.14,45,39945.66,Won
D-0367,7,Central,REP-030,39866.62,44,39989.91,Lost
D-0368,8,Central,REP-009,32430.81,46,31032.57,Won
D-0369,9,East,REP-001,39208.58,38,43502.15,Won
D-0370,10,East,REP-005,31703.55,52,34332.68,Lost
D-0371,11,East,REP-020,39391.2,52,41040.02,Lost
D-0372,12,East,REP-008,34251.84,54,33131.76,Won
D-0373,13,East,REP-011,31260.85,57,31022.05,Won
D-0374,14,West,REP-012,33406.47,48,32913.66,Lost
D-0375,15,East,REP-001,31212.31,57,30243.57,Pending
D-0376,16,East,REP-025,32865.67,59,30889.96,Pending
D-0377,17,Central,REP-022,35710.53,53,36657.57,Lost
D-0378,18,East,REP-020,31103.92,61,29093.63,Won
D-0379,19,Central,REP-028,29312.16,59,29832.09,Won
D-0380,20,East,REP-025,25162.42,54,19878.63,Won
D-0381,21,East,REP-011,33295.89,62,31298.56,Won
D-0382,22,West,REP-005,31761.36,58,35249.8,Lost
D-0383,23,West,REP-015,23730.29,67,21593.54,Won
D-0384,24,Central,REP-005,33437.47,60,35417.31,Won
D-0385,1,Central,REP-012,32009.08,34,29393.03,Pending
D-0386,2,Central,REP-005,42766.11,47,46083.84,Won
D-0387,3,East,REP-017,40679.32,48,39470.7,Won
D-0388,4,East,REP-017,38958.33,38,37646.81,Won
D-0389,5,Central,REP-024,34595.02,54,34783.05,Lost
D-0390,6,Central,REP-012,38978.9,54,33742.37,Lost
D-0391,7,Central,REP-024,41101.86,42,45097.33,Won
D-0392,8,West,REP-028,38301.76,44,43294.14,Won
D-0393,9,West,REP-015,31608.75,49,30470.74,Lost
D-0394,10,Central,REP-015,35917.03,45,37799.82,Lost
D-0395,11,East,REP-006,39860.17,57,42964.93,Pending
D-0396,12,Central,REP-012,44815.49,54,44406.52,Lost
D-0397,13,Central,REP-027,32413.94,45,28821.67,Lost
D-0398,14,West,REP-029,37349.42,48,43303.22,Won
D-0399,15,Central,REP-020,38352.4,65,36846.99,Won
D-0400,16,Central,REP-018,28237.98,68,26517.9,Won
D-0401,17,East,REP-014,40830.39,61,47521.64,Lost
D-0402,18,Central,REP-002,26214.08,56,27813.29,Lost
D-0403,19,West,REP-009,35204.93,54,36111.21,Won
D-0404,20,Central,REP-005,32306.6,63,29170.4,Won
D-0405,21,East,REP-020,30677.88,60,33140.71,Won
D-0406,22,Central,REP-026,42754.17,47,55137.99,Pending
D-0407,23,West,REP-029,28133.72,69,30610.92,Lost
D-0408,24,East,REP-001,27673.27,73,29046.11,Lost
D-0409,1,Central,REP-023,44657.39,50,47877.61,Lost
D-0410,2,East,REP-003,41429.02,37,40069.67,Pending
D-0411,3,East,REP-006,43650.49,41,42176.63,Lost
D-0412,4,Central,REP-005,37444.35,32,36132.13,Lost
D-0413,5,Central,REP-021,38064.71,60,35876.18,Won
D-0414,6,West,REP-027,45604.68,45,43997.36,Won
D-0415,7,West,REP-005,31540.23,68,30413.91,Won
D-0416,8,West,REP-001,34825.61,65,33973.49,Won
D-0417,9,East,REP-017,38951.27,43,37889.15,Pending
D-0418,10,East,REP-019,33600.7,46,34417.23,Won
D-0419,11,West,REP-014,31349.27,56,31596.28,Pending
D-0420,12,Central,REP-012,36912.42,39,37530.2,Won
D-0421,13,Central,REP-010,40119.03,50,46226.34,Won
D-0422,14,Central,REP-020,32355.83,50,32604.11,Pending
D-0423,15,East,REP-021,31837.05,70,38875.88,Won
D-0424,16,West,REP-018,29061.56,57,30086.53,Won
D-0425,17,East,REP-024,30440.12,54,29078.65,Won
D-0426,18,West,REP-027,36958.03,52,41945.82,Lost
D-0427,19,West,REP-011,31565.31,65,31314.28,Won
D-0428,20,Central,REP-030,26755.05,55,20350.73,Lost
D-0429,21,West,REP-002,31711.81,59,31699.12,Lost
D-0430,22,East,REP-025,35275.97,55,34396.98,Lost
D-0431,23,East,REP-018,26830.57,49,31141.03,Lost
D-0432,24,Central,REP-029,22616.97,54,20586.95,Won
D-0433,1,West,REP-025,48954.13,40,47325.64,Won
D-0434,2,East,REP-007,30727.35,43,34622.47,Lost
D-0435,3,East,REP-024,35444.89,44,36842.86,Won
D-0436,4,Central,REP-015,38020.64,46,37368.75,Won
D-0437,5,East,REP-011,35117.86,44,32461.25,Won
D-0438,6,Central,REP-018,35725.45,59,36982.07,Pending
D-0439,7,Central,REP-023,38604.19,57,38491.08,Won
D-0440,8,East,REP-012,23381.39,49,21586.1,Won
D-0441,9,East,REP-006,28625.53,53,26576.38,Lost
D-0442,10,Central,REP-020,34801.3,48,31966.83,Lost
D-0443,11,West,REP-023,32178.91,29,28984.98,Won
D-0444,12,West,REP-030,34467.06,53,37686.4,Won
D-0445,13,Central,REP-013,34578.27,56,37342.43,Lost
D-0446,14,Central,REP-020,22480.4,41,24583.83,Pending
D-0447,15,Central,REP-016,39048.2,59,39065.77,Lost
D-0448,16,Central,REP-018,29808.66,54,29085.42,Won
D-0449,17,West,REP-010,27592.43,59,26973.31,Won
D-0450,18,East,REP-028,32581.78,55,35908.71,Pending
D-0451,19,Central,REP-023,31695.8,68,25926.7,Lost
D-0452,20,West,REP-008,36763.45,61,34872.03,Won
D-0453,21,West,REP-018,31759.37,68,28941.21,Won
D-0454,22,Central,REP-021,35810.55,69,40680.39,Lost
D-0455,23,East,REP-001,24949.11,52,23757.9,Won
D-0456,24,West,REP-023,29969.31,56,25066.36,Won
D-0457,1,East,REP-008,32426.26,48,33150.74,Won
D-0458,2,West,REP-029,38108.38,42,36697.93,Won
D-0459,3,East,REP-006,36668.56,44,34626.38,Won
D-0460,4,East,REP-005,36073.51,57,33692.55,Lost
D-0461,5,East,REP-015,35737.36,45,33237.59,Won
D-0462,6,West,REP-022,39781.95,40,42600.74,Won
D-0463,7,Central,REP-015,27683.2,42,28302.72,Won
D-0464,8,West,REP-002,30841.06,67,30230.51,Won
D-0465,9,Central,REP-001,34757.14,49,30939.98,Won
D-0466,10,West,REP-023,28686.68,40,28202.19,Won
