application_id,district,application_type,submission_date,completion_date,processing_days,approval_status,digital_access
APP000032,District_1,Medicaid,2024-07-23,2024-08-03,11,0,1
APP000033,District_1,SNAP,2023-09-23,2023-10-03,10,1,1
APP000034,District_1,SNAP,2024-10-02,2024-10-11,9,1,1
APP000035,District_1,TANF,2024-06-12,2024-06-28,16,0,1
APP000036,District_1,TANF,2024-12-18,2025-01-06,19,1,1
APP000037,District_1,Medicaid,2024-04-06,2024-04-18,12,1,1
APP000038,District_1,Medicaid,2024-01-21,2024-01-29,8,1,1
APP000039,District_1,Medicaid,2023-05-18,2023-05-26,8,1,1
APP000040,District_1,SNAP,2023-10-19,2023-11-05,17,1,1
APP000041,District_1,SNAP,2024-09-18,2024-10-05,17,1,1
APP000042,District_1,SNAP,2023-10-06,2023-10-22,16,1,1
APP000043,District_1,Medicaid,2023-02-08,2023-02-17,9,0,1
APP000044,District_1,Medicaid,2023-06-28,2023-07-12,14,1,1
APP000045,District_1,Medicaid,2024-03-10,2024-03-24,14,1,1
APP000046,District_1,SNAP,2024-04-04,2024-04-18,14,1,1
APP000047,District_1,Medicaid,2024-12-19,2025-01-06,18,0,1
APP000048,District_1,TANF,2024-11-12,2024-11-26,14,1,1
APP000049,District_1,Medicaid,2024-01-23,2024-02-09,17,1,1
APP000050,District_1,TANF,2024-02-09,2024-02-22,13,0,1
APP000051,District_1,SNAP,2024-08-07,2024-08-22,15,1,1
APP000052,District_1,SNAP,2023-02-05,2023-02-21,16,1,1
APP000053,District_1,Medicaid,2024-03-10,2024-03-15,5,0,1
APP000054,District_1,SNAP,2023-12-13,2023-12-24,11,1,1
APP000055,District_1,SNAP,2024-07-25,2024-08-04,10,1,1
APP000056,District_1,SNAP,2024-08-07,2024-08-16,9,1,1
APP000057,District_1,SNAP,2024-04-23,2024-05-04,11,1,1
APP000058,District_1,Medicaid,2024-04-24,2024-05-15,21,0,1
APP000059,District_1,SNAP,2024-05-19,2024-05-27,8,1,1
APP000060,District_1,SNAP,2024-02-28,2024-03-17,18,1,1
APP000061,District_1,Medicaid,2023-06-16,2023-06-20,4,1,1
APP000062,District_1,TANF,2023-07-27,2023-08-07,11,1,1
APP000063,District_1,SNAP,2024-06-25,2024-07-09,14,1,1
APP000064,District_1,SNAP,2024-03-27,2024-04-12,16,1,1
APP000065,District_1,SNAP,2023-06-23,2023-07-10,17,1,1
APP000066,District_1,SNAP,2024-10-02,2024-10-19,17,1,1
APP000067,District_1,SNAP,2024-12-16,2024-12-27,11,1,1
APP000068,District_1,SNAP,2024-04-02,2024-04-12,10,1,1
APP000069,District_1,Medicaid,2023-06-16,2023-07-04,18,1,1
APP000070,District_1,Medicaid,2024-11-15,2024-11-27,12,1,1
APP000071,District_1,Medicaid,2023-06-22,2023-06-28,6,1,1
APP000072,District_1,SNAP,2023-11-12,2023-11-19,7,1,1
APP000073,District_1,SNAP,2024-09-18,2024-09-26,8,1,1
APP000074,District_1,Medicaid,2024-01-16,2024-02-01,16,1,1
APP000075,District_1,Medicaid,2023-06-27,2023-07-11,14,1,1
APP000076,District_1,TANF,2023-02-28,2023-03-17,17,0,1
APP000077,District_1,SNAP,2023-09-21,2023-10-02,11,1,1
APP000078,District_1,SNAP,2024-05-05,2024-05-19,14,1,1
APP000079,District_1,TANF,2024-06-05,2024-06-21,16,0,1
APP000080,District_1,TANF,2023-06-12,2023-06-23,11,1,1
APP000081,District_1,SNAP,2023-04-26,2023-05-12,16,1,1
APP000082,District_1,Medicaid,2024-05-27,2024-06-05,9,1,1
APP000083,District_1,TANF,2023-04-27,2023-05-08,11,1,1
APP000084,District_1,TANF,2023-02-16,2023-02-27,11,1,1
APP000085,District_1,SNAP,2023-12-22,2023-12-28,6,1,1
APP000086,District_1,Medicaid,2024-02-21,2024-03-08,16,1,1
APP000087,District_1,Medicaid,2023-06-27,2023-07-07,10,1,1
APP000088,District_1,SNAP,2023-06-04,2023-06-17,13,1,1
APP000089,District_1,TANF,2023-06-22,2023-07-08,16,0,1
APP000090,District_1,TANF,2023-09-08,2023-09-23,15,1,1
APP000091,District_1,Medicaid,2023-01-07,2023-01-24,17,1,1
APP000092,District_1,SNAP,2023-01-09,2023-01-21,12,1,1
APP000093,District_1,Medicaid,2023-09-28,2023-10-09,11,1,1
APP000094,District_1,TANF,2023-01-15,2023-01-28,13,0,1
APP000095,District_1,SNAP,2023-08-21,2023-08-25,4,1,1
APP000096,District_1,SNAP,2024-02-29,2024-03-05,5,1,1
APP000097,District_1,SNAP,2023-01-23,2023-01-29,6,1,1
APP000098,District_1,SNAP,2024-03-27,2024-04-04,8,1,1
APP000099,District_1,TANF,2024-03-29,2024-04-13,15,1,1
APP000100,District_1,Medicaid,2024-02-23,2024-03-02,8,1,1
APP000101,District_1,SNAP,2024-04-02,2024-04-13,11,1,1
APP000102,District_1,Medicaid,2024-08-13,2024-09-02,20,1,1
APP000103,District_1,SNAP,2023-02-21,2023-03-04,11,1,1
APP000104,District_1,TANF,2023-05-04,2023-05-21,17,0,1
APP000105,District_1,Medicaid,2023-08-20,2023-08-28,8,1,1
APP000106,District_1,Medicaid,2024-05-17,2024-05-29,12,1,1
APP000107,District_1,TANF,2024-09-29,2024-10-07,8,0,1
APP000108,District_1,Medicaid,2024-11-01,2024-11-12,11,1,1
APP000109,District_1,SNAP,2024-02-29,2024-03-18,18,1,1
APP000110,District_1,SNAP,2023-10-27,2023-10-30,3,0,1
APP000111,District_1,SNAP,2023-10-28,2023-11-12,15,0,1
APP000112,District_1,SNAP,2023-02-13,2023-02-27,14,1,1
APP000113,District_1,SNAP,2023-12-06,2023-12-16,10,1,1
APP000114,District_1,SNAP,2024-01-10,2024-01-15,5,0,1
APP000115,District_1,Medicaid,2023-06-02,2023-06-15,13,1,1
APP000116,District_1,Medicaid,2024-07-14,2024-07-24,10,1,1
APP000117,District_1,Medicaid,2023-08-09,2023-08-23,14,1,1
APP000118,District_1,Medicaid,2024-10-29,2024-11-11,13,1,1
APP000119,District_1,SNAP,2023-03-20,2023-04-11,22,1,1
APP000120,District_1,SNAP,2024-10-26,2024-11-07,12,0,1
APP000121,District_1,TANF,2024-07-14,2024-07-21,7,1,1
APP000122,District_1,TANF,2023-06-13,2023-06-27,14,1,1
APP000123,District_1,SNAP,2024-04-19,2024-05-03,14,1,1
APP000124,District_1,TANF,2023-08-15,2023-09-04,20,1,1
APP000125,District_1,TANF,2024-08-06,2024-08-24,18,1,1
APP000126,District_1,SNAP,2023-04-28,2023-05-13,15,1,1
APP000127,District_1,SNAP,2023-06-28,2023-07-19,21,1,1
APP000128,District_1,SNAP,2023-08-13,2023-08-19,6,1,1
APP000129,District_1,TANF,2023-05-26,2023-06-04,9,1,1
APP000130,District_1,Medicaid,2023-08-31,2023-09-08,8,1,1
APP000131,District_1,TANF,2024-03-15,2024-03-26,11,0,1
APP000132,District_1,Medicaid,2024-04-07,2024-04-12,5,1,1
APP000133,District_1,Medicaid,2024-02-09,2024-02-25,16,1,1
APP000134,District_1,SNAP,2023-05-19,2023-05-31,12,1,1
APP000135,District_1,TANF,2023-05-28,2023-06-02,5,1,1
APP000136,District_1,TANF,2024-11-02,2024-11-09,7,1,1
APP000137,District_1,TANF,2023-07-03,2023-07-18,15,1,1
APP000138,District_1,SNAP,2023-03-17,2023-04-04,18,1,1
APP000139,District_1,Medicaid,2023-11-28,2023-12-22,24,1,1
APP000140,District_1,Medicaid,2023-01-06,2023-02-04,29,1,1
APP000141,District_1,SNAP,2023-09-08,2023-09-23,15,1,1
APP000142,District_1,SNAP,2024-09-16,2024-09-24,8,1,1
APP000143,District_1,SNAP,2023-07-15,2023-07-16,1,1,1
APP000144,District_1,Medicaid,2024-05-28,2024-06-11,14,1,1
APP000145,District_1,TANF,2023-12-24,2024-01-02,9,1,1
APP000146,District_1,SNAP,2023-09-17,2023-09-28,11,0,1
APP000147,District_1,Medicaid,2024-04-27,2024-05-07,10,1,1
APP000148,District_1,SNAP,2024-03-10,2024-03-22,12,1,1
APP000149,District_1,TANF,2023-08-21,2023-09-09,19,1,1
APP000150,District_1,SNAP,2023-06-13,2023-06-27,14,1,1
APP000151,District_1,TANF,2024-10-31,2024-11-12,12,1,1
APP000152,District_1,TANF,2023-05-03,2023-05-10,7,0,1
APP000153,District_1,SNAP,2024-12-01,2024-12-05,4,1,1
APP000154,District_1,SNAP,2023-12-10,2023-12-20,10,1,1
APP000155,District_1,Medicaid,2024-12-28,2025-01-10,13,1,1
APP000156,District_1,TANF,2023-09-15,2023-10-08,23,1,1
APP000157,District_1,Medicaid,2024-02-17,2024-03-02,14,0,1
APP000158,District_1,TANF,2024-03-25,2024-04-12,18,0,1
APP000159,District_1,Medicaid,2023-09-05,2023-09-15,10,1,1
APP000160,District_1,SNAP,2023-06-09,2023-06-15,6,1,1
APP000161,District_1,Medicaid,2024-01-15,2024-01-23,8,1,1
APP000162,District_1,SNAP,2024-04-28,2024-05-07,9,1,1
APP000163,District_1,SNAP,2023-07-10,2023-08-04,25,1,1
APP000164,District_1,SNAP,2024-07-13,2024-07-21,8,0,1
APP000165,District_1,SNAP,2024-04-11,2024-04-29,18,1,1
APP000166,District_1,Medicaid,2023-05-02,2023-05-10,8,1,1
APP000167,District_1,Medicaid,2024-11-16,2024-12-04,18,1,1
APP000168,District_1,Medicaid,2023-02-02,2023-02-17,15,1,1
APP000169,District_1,SNAP,2024-04-22,2024-05-04,12,1,1
APP000170,District_1,Medicaid,2023-11-17,2023-11-30,13,1,1
APP000171,District_1,Medicaid,2024-04-22,2024-05-01,9,1,1
APP000172,District_1,SNAP,2024-07-19,2024-08-03,15,0,1
APP000173,District_1,TANF,2024-05-16,2024-05-26,10,1,1
APP000174,District_1,TANF,2024-04-20,2024-04-26,6,1,1
APP000175,District_1,SNAP,2024-09-05,2024-09-11,6,1,1
APP000176,District_1,TANF,2024-05-27,2024-06-10,14,1,1
APP000177,District_1,Medicaid,2024-08-17,2024-09-08,22,1,1
APP000178,District_1,SNAP,2023-10-22,2023-11-05,14,0,1
APP000179,District_1,SNAP,2023-05-29,2023-06-10,12,1,1
APP000180,District_1,TANF,2023-06-21,2023-07-06,15,1,1
APP000181,District_1,Medicaid,2024-03-22,2024-04-11,20,1,1
APP000182,District_1,Medicaid,2024-01-24,2024-02-07,14,1,1
APP000183,District_1,Medicaid,2023-02-26,2023-03-09,11,1,1
APP000184,District_1,TANF,2023-05-30,2023-06-18,19,1,1
APP000185,District_1,TANF,2024-12-07,2024-12-22,15,1,1
APP000186,District_1,TANF,2024-06-14,2024-07-05,21,0,1
APP000187,District_1,TANF,2024-07-05,2024-07-19,14,1,1
APP000188,District_1,SNAP,2023-05-24,2023-05-30,6,1,1
APP000189,District_1,TANF,2023-02-16,2023-02-21,5,1,1
APP000190,District_1,Medicaid,2023-08-01,2023-08-23,22,1,1
APP000191,District_1,TANF,2024-09-17,2024-10-09,22,1,1
APP000192,District_1,Medicaid,2024-01-05,2024-01-17,12,0,1
APP000193,District_1,TANF,2024-07-26,2024-08-06,11,1,1
APP000194,District_1,SNAP,2023-12-22,2024-01-12,21,1,1
APP000195,District_1,SNAP,2023-12-24,2023-12-31,7,0,1
APP000196,District_1,SNAP,2024-03-14,2024-03-22,8,1,1
APP000197,District_1,SNAP,2024-12-01,2024-12-18,17,1,1
APP000198,District_1,TANF,2023-11-16,2023-11-27,11,1,1
APP000199,District_1,SNAP,2024-03-10,2024-03-23,13,1,1
APP000200,District_1,SNAP,2024-11-02,2024-11-14,12,1,1
APP000201,District_1,SNAP,2023-09-29,2023-10-14,15,1,1
APP000202,District_1,Medicaid,2024-09-05,2024-09-26,21,1,1
APP000203,District_1,Medicaid,2024-01-26,2024-02-08,13,1,1
APP000204,District_1,SNAP,2024-10-03,2024-10-20,17,1,1
APP000205,District_1,SNAP,2023-12-08,2023-12-10,2,1,1
APP000206,District_1,SNAP,2024-04-04,2024-04-17,13,1,1
APP000207,District_1,SNAP,2023-08-24,2023-09-01,8,1,1
APP000208,District_1,SNAP,2024-04-08,2024-04-14,6,1,1
APP000209,District_1,SNAP,2023-08-27,2023-09-04,8,1,1
APP000210,District_1,SNAP,2024-03-20,2024-03-31,11,1,1
APP000211,District_1,Medicaid,2024-07-29,2024-08-16,18,1,1
APP000212,District_1,TANF,2023-11-14,2023-11-20,6,1,1
APP000213,District_1,Medicaid,2023-11-10,2023-11-23,13,1,1
APP000214,District_1,SNAP,2023-08-24,2023-09-03,10,1,1
APP000215,District_1,SNAP,2024-06-17,2024-06-28,11,1,1
APP000216,District_1,Medicaid,2024-03-08,2024-03-27,19,1,1
APP000217,District_1,SNAP,2024-01-13,2024-01-29,16,0,1
APP000218,District_1,TANF,2023-01-19,2023-02-08,20,1,1
APP000219,District_1,Medicaid,2023-03-22,2023-04-03,12,0,1
APP000220,District_1,TANF,2023-01-06,2023-01-15,9,1,1
APP000221,District_1,SNAP,2024-09-12,2024-09-24,12,1,1
APP000222,District_1,TANF,2024-09-13,2024-09-27,14,1,1
APP000223,District_1,SNAP,2023-02-19,2023-03-05,14,1,1
APP000224,District_1,SNAP,2023-02-03,2023-02-10,7,0,1
APP000225,District_1,SNAP,2024-07-24,2024-08-06,13,1,1
APP000226,District_1,Medicaid,2024-01-19,2024-02-02,14,0,1
APP000227,District_1,TANF,2023-08-14,2023-09-10,27,1,1
APP000228,District_1,SNAP,2024-03-24,2024-04-16,23,1,1
APP000229,District_1,SNAP,2023-06-22,2023-06-30,8,1,1
APP000230,District_1,TANF,2023-05-25,2023-06-05,11,1,1
APP000231,District_1,Medicaid,2023-09-26,2023-10-01,5,1,1
APP000232,District_1,SNAP,2024-10-15,2024-10-25,10,0,1
APP000233,District_1,SNAP,2024-07-14,2024-07-29,15,1,1
APP000234,District_1,Medicaid,2023-05-19,2023-06-08,20,0,1
APP000235,District_1,Medicaid,2024-02-15,2024-02-24,9,0,1
APP000236,District_1,Medicaid,2024-10-07,2024-10-16,9,1,1
APP000237,District_1,SNAP,2024-11-25,2024-11-26,1,1,1
APP000238,District_1,SNAP,2024-07-10,2024-07-22,12,1,1
APP000239,District_1,SNAP,2023-04-05,2023-04-12,7,1,1
APP000240,District_1,SNAP,2023-06-25,2023-07-05,10,0,1
APP000241,District_1,Medicaid,2023-06-09,2023-06-17,8,0,1
APP000242,District_1,SNAP,2023-04-21,2023-05-03,12,0,1
APP000243,District_1,TANF,2023-05-08,2023-05-11,3,1,1
APP000244,District_1,Medicaid,2023-08-19,2023-08-24,5,1,1
APP000245,District_1,Medicaid,2024-02-10,2024-03-06,25,1,1
APP000246,District_1,TANF,2023-10-18,2023-10-24,6,0,1
APP000247,District_1,Medicaid,2023-11-04,2023-11-11,7,1,1
APP000248,District_1,SNAP,2023-06-29,2023-07-22,23,1,1
APP000249,District_1,SNAP,2023-04-21,2023-05-20,29,1,1
APP000250,District_1,SNAP,2024-12-30,2025-01-06,7,1,1
APP000251,District_1,Medicaid,2024-03-13,2024-03-24,11,1,1
APP000252,District_1,Medicaid,2023-06-17,2023-07-02,15,1,1
APP000253,District_1,SNAP,2024-08-14,2024-09-06,23,0,1
APP000254,District_1,SNAP,2024-08-29,2024-09-06,8,1,1
APP000255,District_1,SNAP,2024-12-06,2024-12-18,12,1,1
APP000256,District_1,SNAP,2023-04-27,2023-05-14,17,1,1
APP000257,District_1,Medicaid,2024-04-12,2024-04-27,15,1,1
APP000258,District_1,SNAP,2024-12-16,2024-12-27,11,1,1
APP000259,District_1,Medicaid,2024-08-11,2024-08-23,12,1,1
APP000260,District_1,TANF,2023-06-14,2023-06-19,5,1,1
APP000261,District_1,SNAP,2024-10-13,2024-10-25,12,1,1
APP000262,District_1,SNAP,2023-11-04,2023-11-16,12,1,1
APP000263,District_1,Medicaid,2023-12-23,2024-01-06,14,1,1
APP000264,District_1,TANF,2024-02-12,2024-02-22,10,1,1
APP000265,District_1,SNAP,2024-07-17,2024-08-02,16,1,1
APP000266,District_1,SNAP,2023-03-29,2023-04-17,19,1,1
APP000267,District_1,Medicaid,2024-01-29,2024-02-12,14,1,1
APP000268,District_1,Medicaid,2024-08-19,2024-09-03,15,1,1
APP000269,District_1,Medicaid,2024-02-05,2024-02-18,13,1,1
APP000270,District_1,TANF,2023-07-20,2023-08-02,13,1,1
APP000271,District_1,Medicaid,2023-02-11,2023-02-20,9,1,1
APP000272,District_1,SNAP,2024-02-05,2024-02-20,15,1,1
APP000273,District_1,Medicaid,2024-05-28,2024-06-09,12,1,1
APP000274,District_1,SNAP,2024-02-06,2024-03-02,25,1,1
APP000275,District_1,TANF,2024-12-15,2025-01-06,22,1,1
APP000276,District_1,Medicaid,2024-03-15,2024-03-30,15,1,1
APP000277,District_1,Medicaid,2024-01-07,2024-01-16,9,1,1
APP000278,District_1,TANF,2023-02-10,2023-02-17,7,1,1
APP000279,District_1,TANF,2024-02-12,2024-03-03,20,1,1
APP000280,District_1,Medicaid,2023-05-04,2023-05-18,14,0,1
APP000281,District_1,Medicaid,2024-06-13,2024-06-29,16,1,1
APP000282,District_1,Medicaid,2023-04-28,2023-05-01,3,1,1
APP000283,District_1,SNAP,2024-10-23,2024-11-10,18,1,1
APP000284,District_1,SNAP,2023-08-09,2023-08-24,15,1,1
APP000285,District_1,Medicaid,2023-11-13,2023-11-20,7,1,1
APP000286,District_1,Medicaid,2023-04-16,2023-04-26,10,1,1
APP000287,District_1,Medicaid,2023-06-03,2023-06-17,14,1,1
APP000288,District_1,TANF,2024-11-04,2024-11-17,13,0,1
APP000289,District_1,SNAP,2023-07-27,2023-08-07,11,0,1
APP000290,District_1,SNAP,2024-01-10,2024-01-22,12,1,1
APP000291,District_1,Medicaid,2024-12-17,2024-12-29,12,0,1
APP000292,District_1,SNAP,2024-03-31,2024-04-14,14,0,1
APP000293,District_1,TANF,2023-01-31,2023-02-21,21,1,1
APP000294,District_1,Medicaid,2023-09-18,2023-09-19,1,1,1
APP000295,District_1,Medicaid,2023-10-10,2023-10-22,12,1,1
APP000296,District_1,SNAP,2023-07-21,2023-08-04,14,1,1
APP000297,District_1,Medicaid,2023-06-26,2023-07-11,15,1,1
APP000298,District_1,SNAP,2024-01-03,2024-01-14,11,1,1
APP000299,District_1,SNAP,2023-10-03,2023-10-06,3,1,1
APP000300,District_1,SNAP,2023-08-03,2023-08-18,15,1,1
APP000301,District_1,SNAP,2023-10-29,2023-11-21,23,1,1
APP000302,District_1,Medicaid,2023-09-08,2023-09-13,5,1,1
APP000303,District_1,Medicaid,2023-06-16,2023-07-04,18,0,1
APP000304,District_1,SNAP,2023-11-27,2023-12-08,11,0,1
APP000305,District_1,Medicaid,2024-11-18,2024-12-01,13,1,1
APP000306,District_1,TANF,2024-01-05,2024-01-12,7,1,1
APP000307,District_1,Medicaid,2024-03-12,2024-03-23,11,0,1
APP000308,District_1,Medicaid,2024-12-19,2025-01-08,20,1,1
APP000309,District_1,TANF,2024-03-23,2024-04-08,16,0,1
APP000310,District_1,SNAP,2023-06-13,2023-07-06,23,1,1
APP000311,District_1,SNAP,2023-10-18,2023-11-06,19,1,1
APP000312,District_1,TANF,2023-12-23,2024-01-07,15,1,1
APP000313,District_1,Medicaid,2023-12-13,2024-01-05,23,1,1
APP000314,District_1,TANF,2023-04-20,2023-05-05,15,1,1
APP000315,District_1,SNAP,2023-03-19,2023-04-06,18,1,1
APP000316,District_1,SNAP,2023-09-13,2023-09-24,11,0,1
APP000317,District_1,Medicaid,2024-10-29,2024-11-11,13,1,1
APP000318,District_1,SNAP,2024-06-07,2024-06-16,9,1,1
APP000319,District_1,Medicaid,2024-09-06,2024-09-24,18,1,1
APP000320,District_1,TANF,2023-05-08,2023-05-15,7,1,1
APP000321,District_1,SNAP,2023-10-30,2023-11-16,17,1,1
APP000322,District_1,SNAP,2024-02-29,2024-03-12,12,1,1
APP000323,District_1,SNAP,2023-11-14,2023-12-03,19,1,1
APP000324,District_1,SNAP,2023-11-01,2023-11-18,17,1,1
APP000325,District_1,Medicaid,2023-09-20,2023-10-13,23,1,1
APP000326,District_1,Medicaid,2023-02-07,2023-02-24,17,1,1
APP000327,District_1,SNAP,2024-09-17,2024-09-21,4,1,1
APP000328,District_1,TANF,2024-11-12,2024-11-25,13,1,1
APP000329,District_1,SNAP,2023-03-01,2023-03-08,7,1,1
APP000330,District_1,SNAP,2023-10-29,2023-11-08,10,1,1
APP000331,District_1,Medicaid,2024-01-14,2024-02-04,21,0,1
APP000332,District_1,Medicaid,2024-07-26,2024-08-12,17,1,1
APP000333,District_1,Medicaid,2024-12-21,2024-12-30,9,1,1
APP000334,District_1,SNAP,2023-10-31,2023-11-07,7,1,1
APP000335,District_1,TANF,2024-06-30,2024-07-13,13,1,1
APP000336,District_1,SNAP,2024-11-15,2024-11-21,6,1,1
APP000337,District_1,Medicaid,2024-08-29,2024-09-07,9,1,1
APP000338,District_1,TANF,2023-08-01,2023-08-16,15,1,1
APP000339,District_1,Medicaid,2024-08-19,2024-09-07,19,1,1
APP000340,District_1,SNAP,2023-10-28,2023-11-13,16,0,1
APP000341,District_1,TANF,2023-01-13,2023-01-14,1,1,1
APP000342,District_1,Medicaid,2024-07-07,2024-07-22,15,1,1
APP000343,District_1,SNAP,2024-09-01,2024-09-14,13,1,1
APP000344,District_1,TANF,2023-09-08,2023-09-23,15,1,1
APP000345,District_1,TANF,2023-11-26,2023-12-18,22,1,1
APP000346,District_1,Medicaid,2023-09-23,2023-09-25,2,1,1
APP000347,District_1,SNAP,2023-03-27,2023-04-06,10,1,1
APP000348,District_1,Medicaid,2024-12-27,2025-01-12,16,1,1
APP000349,District_1,SNAP,2023-01-17,2023-01-21,4,1,1
APP000350,District_1,TANF,2024-02-10,2024-03-02,21,1,1
APP000351,District_1,TANF,2023-01-11,2023-01-26,15,1,1
APP000352,District_1,SNAP,2024-05-18,2024-06-05,18,1,1
APP000353,District_1,Medicaid,2024-10-19,2024-10-29,10,1,1
APP000354,District_1,Medicaid,2024-04-14,2024-05-01,17,0,1
APP000355,District_1,Medicaid,2024-03-18,2024-04-06,19,1,1
APP000356,District_1,Medicaid,2024-08-27,2024-09-10,14,0,1
APP000357,District_1,TANF,2024-12-12,2024-12-26,14,1,1
APP000358,District_1,TANF,2024-09-21,2024-10-05,14,1,1
APP000359,District_1,Medicaid,2023-06-18,2023-06-26,8,1,1
APP000360,District_1,SNAP,2024-02-16,2024-02-28,12,1,1
APP000361,District_1,Medicaid,2024-08-20,2024-09-01,12,1,1
APP000362,District_1,TANF,2023-08-04,2023-08-19,15,1,1
APP000363,District_1,TANF,2024-05-07,2024-05-25,18,1,1
APP000364,District_1,SNAP,2023-01-17,2023-01-24,7,0,1
APP000365,District_1,SNAP,2024-10-02,2024-10-14,12,1,1
APP000366,District_1,SNAP,2024-03-24,2024-04-14,21,1,1
APP000367,District_1,SNAP,2024-06-26,2024-07-05,9,1,1
APP000368,District_1,SNAP,2024-08-25,2024-09-02,8,1,1
APP000369,District_1,SNAP,2023-06-09,2023-06-23,14,1,1
APP000370,District_1,SNAP,2023-11-25,2023-12-13,18,1,1
APP000371,District_1,TANF,2024-09-18,2024-10-01,13,0,1
APP000372,District_1,SNAP,2023-05-01,2023-05-21,20,1,1
APP000373,District_1,Medicaid,2024-08-23,2024-09-10,18,1,1
APP000374,District_1,SNAP,2023-07-30,2023-08-17,18,1,1
APP000375,District_1,TANF,2024-02-25,2024-03-12,16,1,1
APP000376,District_1,SNAP,2024-01-08,2024-02-03,26,1,1
APP000377,District_1,TANF,2024-05-16,2024-05-28,12,1,1
APP000378,District_1,TANF,2024-09-02,2024-09-04,2,1,1
APP000379,District_1,TANF,2023-09-12,2023-10-04,22,0,1
APP000380,District_1,SNAP,2023-05-06,2023-05-16,10,1,1
APP000381,District_1,TANF,2023-11-05,2023-11-19,14,1,1
APP000382,District_1,SNAP,2024-03-22,2024-04-11,20,1,1
APP000383,District_1,TANF,2024-07-01,2024-07-05,4,1,1
APP000384,District_1,SNAP,2024-07-03,2024-07-09,6,0,1
APP000385,District_1,TANF,2023-09-06,2023-09-10,4,1,1
APP000386,District_1,SNAP,2024-11-14,2024-11-23,9,1,1
APP000387,District_1,Medicaid,2023-03-02,2023-03-17,15,1,1
APP000388,District_1,SNAP,2023-03-27,2023-04-12,16,1,1
APP000389,District_1,SNAP,2023-01-19,2023-02-03,15,1,1
APP000390,District_1,SNAP,2024-11-07,2024-11-12,5,1,1
APP000391,District_1,SNAP,2023-05-12,2023-05-13,1,1,1
APP000392,District_1,TANF,2024-03-15,2024-03-28,13,1,1
APP000393,District_1,Medicaid,2024-08-16,2024-08-26,10,1,1
APP000394,District_1,Medicaid,2024-07-13,2024-07-29,16,1,1
APP000395,District_1,SNAP,2023-02-09,2023-02-26,17,1,1
APP000396,District_1,SNAP,2023-10-25,2023-11-08,14,1,1
APP000397,District_1,Medicaid,2024-01-05,2024-01-22,17,1,1
APP000398,District_1,SNAP,2024-05-23,2024-06-06,14,0,1
APP000399,District_1,SNAP,2024-03-30,2024-04-15,16,1,1
APP000400,District_1,Medicaid,2024-02-13,2024-02-22,9,1,1
APP000401,District_1,SNAP,2023-08-12,2023-08-24,12,1,1
APP000402,District_1,SNAP,2023-03-19,2023-04-02,14,1,1
APP000403,District_1,SNAP,2023-11-12,2023-11-30,18,1,1
APP000404,District_1,TANF,2023-07-09,2023-07-20,11,1,1
APP000405,District_1,SNAP,2024-02-09,2024-02-25,16,1,1
APP000406,District_1,TANF,2024-08-04,2024-08-16,12,1,1
APP000407,District_1,SNAP,2024-02-08,2024-02-20,12,1,1
APP000408,District_1,SNAP,2024-03-01,2024-03-19,18,1,1
