response_id,district,digital_access,satisfaction_score,ease_of_access_rating,language_barrier,digital_literacy_rating
SUR00052,District_1,1,85,9.4,0,7.1
SUR00053,District_1,1,88,7.3,0,6.0
SUR00054,District_1,1,87,7.6,0,5.8
SUR00055,District_1,1,60,7.6,0,7.1
SUR00056,District_1,1,66,10.0,1,7.6
SUR00057,District_1,1,100,8.4,0,7.7
SUR00058,District_1,1,85,9.0,0,8.1
SUR00059,District_1,1,89,6.6,0,8.1
SUR00060,District_1,1,74,6.5,1,4.1
SUR00061,District_1,1,86,6.7,0,7.0
SUR00062,District_1,1,71,7.1,0,8.6
SUR00063,District_1,1,84,6.3,0,5.6
SUR00064,District_1,1,75,7.2,0,5.0
SUR00065,District_1,1,75,9.1,1,3.3
SUR00066,District_1,1,76,7.7,0,4.8
SUR00067,District_1,1,49,5.3,0,6.1
SUR00068,District_1,1,62,9.3,0,8.5
SUR00069,District_1,1,90,5.7,0,3.9
SUR00070,District_1,1,83,9.1,0,8.6
SUR00071,District_1,1,83,7.5,0,6.7
SUR00072,District_1,1,60,10.0,0,3.8
SUR00073,District_1,1,70,9.6,0,7.7
SUR00074,District_1,1,89,8.4,0,7.7
SUR00075,District_1,1,59,7.6,0,6.9
SUR00076,District_1,1,67,9.4,0,7.3
SUR00077,District_1,1,58,7.8,0,7.8
SUR00078,District_1,1,83,8.3,0,6.8
SUR00079,District_1,1,68,7.8,0,8.2
SUR00080,District_1,1,91,6.8,1,4.3
SUR00081,District_1,1,78,8.0,0,7.2
SUR00082,District_1,1,81,6.6,0,7.2
SUR00083,District_1,1,82,8.5,0,8.5
SUR00084,District_1,1,94,7.6,0,7.8
SUR00085,District_1,1,84,6.9,0,5.8
SUR00086,District_1,1,90,6.8,1,7.6
SUR00087,District_1,1,69,9.7,0,5.0
SUR00088,District_1,1,68,6.3,0,4.8
SUR00089,District_1,1,58,8.0,0,6.4
SUR00090,District_1,1,82,6.2,0,4.7
SUR00091,District_1,1,71,8.1,0,6.1
SUR00092,District_1,1,75,7.2,0,7.7
SUR00093,District_1,1,76,7.7,0,8.2
SUR00094,District_1,1,82,7.1,0,4.6
SUR00095,District_1,1,69,5.1,0,2.8
SUR00096,District_1,1,80,8.0,0,4.8
SUR00097,District_1,1,61,7.9,1,5.9
SUR00098,District_1,1,90,6.3,0,10.0
SUR00099,District_1,1,49,7.7,0,5.2
SUR00100,District_1,1,63,7.9,0,9.6
SUR00101,District_1,1,84,8.1,0,7.8
SUR00102,District_1,1,83,7.7,0,6.4
SUR00103,District_1,1,83,6.7,0,6.2
SUR00104,District_1,1,60,8.6,0,8.6
SUR00105,District_1,1,40,8.0,0,5.5
SUR00106,District_1,1,92,5.3,0,9.9
SUR00107,District_1,1,76,7.1,0,7.6
SUR00108,District_1,1,83,8.4,1,6.0
SUR00109,District_1,1,65,9.6,0,6.8
SUR00110,District_1,1,76,7.8,0,8.5
SUR00111,District_1,1,57,6.1,0,9.7
SUR00112,District_1,1,72,5.6,0,7.2
SUR00113,District_1,1,86,7.7,0,5.7
SUR00114,District_1,1,50,7.4,0,7.0
SUR00115,District_1,1,100,8.0,0,4.5
SUR00116,District_1,1,60,6.3,0,7.9
SUR00117,District_1,1,69,7.9,0,5.4
SUR00118,District_1,1,72,7.5,1,5.7
SUR00119,District_1,1,100,6.5,0,8.2
SUR00120,District_1,1,73,9.5,1,8.1
SUR00121,District_1,1,83,8.6,0,5.0
SUR00122,District_1,1,62,7.4,0,7.0
SUR00123,District_1,1,69,6.0,0,6.7
SUR00124,District_1,1,77,8.2,0,5.4
SUR00125,District_1,1,54,6.8,0,6.9
SUR00126,District_1,1,61,8.4,0,6.5
SUR00127,District_1,1,69,8.1,0,6.1
SUR00128,District_1,1,82,6.4,0,8.2
SUR00129,District_1,1,75,7.6,0,4.2
SUR00130,District_1,1,84,8.8,0,5.8
SUR00131,District_1,1,65,5.7,0,5.4
SUR00132,District_1,1,91,8.0,0,4.2
SUR00133,District_1,1,84,9.6,0,6.8
SUR00134,District_1,1,72,6.3,0,4.9
SUR00135,District_1,1,70,5.5,1,5.4
SUR00136,District_1,1,70,10.0,0,7.7
SUR00137,District_1,1,65,4.8,0,3.7
SUR00138,District_1,1,70,7.5,0,7.5
SUR00139,District_1,1,75,9.0,0,9.1
SUR00140,District_1,1,79,9.2,0,7.1
SUR00141,District_1,1,86,8.0,0,7.9
SUR00142,District_1,1,78,9.4,0,10.0
SUR00143,District_1,1,60,7.3,0,7.0
SUR00144,District_1,1,74,7.0,0,7.3
SUR00145,District_1,1,84,7.8,0,8.4
SUR00146,District_1,1,98,8.1,0,5.6
SUR00147,District_1,1,75,8.1,1,5.2
SUR00148,District_1,1,75,6.5,0,6.5
SUR00149,District_1,1,74,7.7,0,6.0
SUR00150,District_1,1,79,6.3,0,4.3
SUR00151,District_1,1,67,7.4,0,4.2
SUR00152,District_1,1,87,8.3,0,4.0
SUR00153,District_1,1,79,8.2,0,5.6
SUR00154,District_1,1,100,9.9,0,4.6
SUR00155,District_1,1,75,7.0,0,7.5
SUR00156,District_1,1,86,8.9,0,9.1
SUR00157,District_1,1,71,10.0,0,7.4
SUR00158,District_1,1,80,10.0,0,5.2
SUR00159,District_1,1,83,8.9,0,10.0
SUR00160,District_1,1,98,5.9,1,5.4
SUR00161,District_1,1,71,6.4,0,5.7
SUR00162,District_1,1,71,6.6,0,6.0
SUR00163,District_1,1,76,7.8,0,8.2
SUR00164,District_1,1,55,9.9,0,5.0
SUR00165,District_1,1,86,7.4,1,9.6
SUR00166,District_1,1,75,6.7,0,3.1
SUR00167,District_1,1,81,9.1,1,5.3
SUR00168,District_1,1,70,7.0,0,8.1
SUR00169,District_1,1,75,8.8,0,10.0
SUR00170,District_1,1,84,7.2,0,9.4
SUR00171,District_1,1,82,8.7,0,7.6
SUR00172,District_1,1,64,7.9,0,5.1
SUR00173,District_1,1,86,7.2,0,5.4
SUR00174,District_1,1,79,5.9,0,7.9
SUR00175,District_1,1,73,7.7,0,8.0
SUR00176,District_1,1,71,6.1,0,5.8
SUR00177,District_1,1,83,8.0,0,5.8
SUR00178,District_1,1,63,8.7,1,8.5
SUR00179,District_1,1,62,8.3,0,8.0
SUR00180,District_1,1,89,7.5,0,7.2
SUR00181,District_1,1,79,7.5,0,5.3
SUR00182,District_1,1,82,8.5,0,7.3
SUR00183,District_1,1,73,6.9,0,5.7
SUR00184,District_1,1,83,7.8,0,6.5
SUR00185,District_1,1,68,5.9,0,6.9
SUR00186,District_1,1,81,6.7,0,7.6
SUR00187,District_1,1,63,7.9,0,3.0
SUR00188,District_1,1,88,6.0,0,8.4
SUR00189,District_1,1,87,7.8,0,8.3
SUR00190,District_1,1,72,8.4,0,7.9
SUR00191,District_1,1,70,6.8,0,7.2
SUR00192,District_1,1,83,8.0,1,4.2
SUR00193,District_1,1,64,6.0,0,8.3
SUR00194,District_1,1,68,8.1,0,5.5
SUR00195,District_1,1,90,7.0,0,5.3
SUR00196,District_1,1,73,6.4,0,10.0
SUR00197,District_1,1,79,7.2,0,7.0
SUR00198,District_1,1,60,6.2,0,6.1
SUR00199,District_1,1,82,8.5,0,5.7
SUR00200,District_1,1,94,7.8,0,6.8
SUR00201,District_1,1,79,8.8,0,5.2
SUR00202,District_1,1,91,5.4,0,2.1
SUR00203,District_1,1,68,8.7,0,4.5
SUR00204,District_1,1,100,5.6,0,6.5
SUR00205,District_1,1,75,7.5,0,7.9
SUR00206,District_1,1,65,10.0,1,7.7
SUR00207,District_1,1,56,5.7,0,7.7
SUR00208,District_1,1,84,7.6,0,4.9
SUR00209,District_1,1,90,6.3,0,6.9
SUR00210,District_1,1,55,6.9,0,7.7
SUR00211,District_1,1,82,6.4,0,7.8
SUR00212,District_1,1,73,4.4,0,5.5
SUR00213,District_1,1,89,8.2,0,7.6
SUR00214,District_1,1,67,7.6,1,6.7
SUR00215,District_1,1,84,6.5,0,5.9
SUR00216,District_1,1,99,9.1,0,4.6
SUR00217,District_1,1,69,8.2,0,6.1
SUR00218,District_1,1,65,7.6,0,5.3
SUR00219,District_1,1,99,8.2,0,4.7
SUR00220,District_1,1,77,8.2,0,5.9
SUR00221,District_1,1,74,7.6,0,5.7
SUR00222,District_1,1,68,8.1,0,10.0
SUR00223,District_1,1,90,7.9,0,8.1
SUR00224,District_1,1,73,7.1,0,5.3
SUR00225,District_1,1,74,6.7,0,8.5
SUR00226,District_1,1,70,6.8,0,7.3
SUR00227,District_1,1,77,6.5,0,4.1
SUR00228,District_1,1,80,7.4,0,6.7
SUR00229,District_1,1,91,8.2,0,6.9
SUR00230,District_1,1,62,8.7,0,6.0
SUR00231,District_1,1,71,7.8,0,3.3
SUR00232,District_1,1,97,8.9,0,2.7
SUR00233,District_1,1,77,6.2,0,7.8
SUR00234,District_1,1,84,8.9,0,6.6
SUR00235,District_1,1,72,8.8,0,5.2
SUR00236,District_1,1,72,5.9,0,8.4
SUR00237,District_1,1,86,6.2,0,6.6
SUR00238,District_1,1,72,6.8,0,4.4
SUR00239,District_1,1,84,8.2,0,6.8
SUR00240,District_1,1,89,4.9,0,8.1
SUR00241,District_1,1,58,7.9,0,2.5
SUR00242,District_1,1,77,8.3,0,8.4
SUR00243,District_1,1,75,9.8,0,8.6
SUR00244,District_1,1,83,9.4,0,7.5
SUR00245,District_1,1,91,7.1,1,6.4
SUR00246,District_1,1,70,6.9,0,7.0
SUR00247,District_1,1,87,9.0,0,4.8
SUR00248,District_1,1,87,9.1,0,4.9
SUR00249,District_1,1,78,8.2,0,9.1
SUR00250,District_1,1,79,6.1,0,5.5
SUR00251,District_1,1,74,7.6,0,5.8
SUR00252,District_1,1,66,6.9,1,7.8
SUR00253,District_1,1,85,6.1,0,3.0
SUR00254,District_1,1,80,7.9,1,5.4
SUR00255,District_1,1,79,6.5,0,5.6
SUR00256,District_1,1,91,10.0,0,6.6
SUR00257,District_1,1,69,6.3,0,7.6
SUR00258,District_1,1,73,4.7,0,6.3
SUR00259,District_1,1,47,7.8,0,6.5
SUR00260,District_1,1,82,9.4,0,3.9
SUR00261,District_1,1,64,7.8,0,1.7
SUR00262,District_1,1,78,7.0,0,6.0
SUR00263,District_1,1,57,6.3,0,4.9
SUR00264,District_1,1,78,5.9,0,6.0
SUR00265,District_1,1,79,6.9,0,7.3
SUR00266,District_1,1,74,6.4,0,4.1
SUR00267,District_1,1,73,7.8,0,9.0
SUR00268,District_1,1,69,7.4,0,7.5
SUR00269,District_1,1,93,7.7,0,6.2
SUR00270,District_1,1,64,6.5,0,7.1
SUR00271,District_1,1,97,7.4,0,5.4
SUR00272,District_1,1,73,8.8,0,5.4
SUR00273,District_1,1,94,5.5,0,3.0
SUR00274,District_1,1,77,6.6,0,2.2
SUR00275,District_1,1,86,7.2,0,6.3
SUR00276,District_1,1,62,7.1,0,3.4
SUR00277,District_1,1,56,9.4,1,7.7
SUR00278,District_1,1,92,5.6,0,6.0
SUR00279,District_1,1,94,4.1,0,5.5
SUR00280,District_1,1,67,9.0,0,5.2
SUR00281,District_1,1,97,5.8,0,2.7
SUR00282,District_1,1,53,6.6,0,7.3
SUR00283,District_1,1,76,8.0,0,7.4
SUR00284,District_1,1,69,9.1,0,4.3
SUR00285,District_1,1,74,6.7,0,7.4
SUR00286,District_1,1,91,6.8,0,4.1
SUR00287,District_1,1,56,6.1,0,3.7
SUR00288,District_1,1,79,7.6,0,8.8
SUR00289,District_1,1,57,9.4,0,3.3
SUR00290,District_1,1,66,6.8,0,3.2
SUR00291,District_1,1,81,6.5,0,5.0
SUR00292,District_1,1,76,7.4,0,7.4
SUR00293,District_1,1,78,8.3,0,5.7
SUR00294,District_1,1,60,8.6,1,8.3
SUR00295,District_1,1,90,7.4,0,8.7
SUR00296,District_1,1,67,9.5,0,6.3
SUR00297,District_1,1,88,8.3,0,5.6
SUR00298,District_1,1,74,7.6,0,8.1
SUR00299,District_1,1,87,7.6,0,8.5
SUR00300,District_1,1,98,5.1,0,4.3
SUR00301,District_1,1,74,6.9,0,8.2
SUR00302,District_1,1,99,6.3,0,5.6
SUR00303,District_1,1,84,7.3,0,6.3
SUR00304,District_1,1,79,6.5,1,8.2
SUR00305,District_1,1,62,5.9,0,5.0
SUR00306,District_1,1,70,8.6,0,8.5
SUR00307,District_1,1,81,5.5,1,4.3
SUR00308,District_1,1,73,10.0,0,6.6
SUR00309,District_1,1,81,6.3,0,3.8
SUR00310,District_1,1,80,7.5,1,5.7
SUR00311,District_1,1,63,5.9,1,8.3
SUR00312,District_1,1,70,6.4,0,3.2
SUR00313,District_1,1,92,8.6,0,3.6
SUR00314,District_1,1,70,6.7,0,8.3
SUR00315,District_1,1,61,6.8,0,5.5
SUR00316,District_1,1,66,8.8,0,6.0
SUR00317,District_1,1,85,9.9,0,7.8
SUR00318,District_1,1,70,7.1,0,7.7
SUR00319,District_1,1,60,5.3,0,4.2
SUR00320,District_1,1,72,7.2,0,6.3
SUR00321,District_1,1,83,7.3,1,6.6
SUR00322,District_1,1,67,7.5,1,6.2
SUR00323,District_1,1,82,8.3,1,5.2
SUR00324,District_1,1,80,8.6,0,7.1
SUR00325,District_1,1,78,6.6,0,5.4
SUR00326,District_1,1,65,7.7,0,6.7
SUR00327,District_1,1,62,7.8,0,6.4
SUR00328,District_1,1,90,9.7,0,7.2
SUR00329,District_1,1,84,8.7,0,3.4
SUR00330,District_1,1,80,6.8,0,6.8
SUR00331,District_1,1,80,6.1,1,9.2
SUR00332,District_1,1,85,7.0,0,8.5
SUR00333,District_1,1,69,7.7,0,5.4
SUR00334,District_1,1,88,7.3,0,7.1
SUR00335,District_1,1,72,6.5,0,5.6
SUR00336,District_1,1,73,6.5,0,5.2
SUR00337,District_1,1,95,8.7,0,6.8
SUR00338,District_1,1,84,5.3,0,6.1
SUR00339,District_1,1,68,9.1,0,3.0
SUR00340,District_1,1,82,7.6,0,8.2
SUR00341,District_1,1,72,6.6,0,7.2
SUR00342,District_1,1,76,7.6,0,8.0
SUR00343,District_1,1,79,8.7,0,7.5
SUR00344,District_1,1,56,7.9,0,8.5
SUR00345,District_1,1,71,6.9,0,7.4
SUR00346,District_1,1,72,7.0,0,4.5
SUR00347,District_1,1,78,7.3,1,4.4
SUR00348,District_1,1,59,8.1,0,5.7
SUR00349,District_1,1,57,5.7,0,4.9
SUR00350,District_1,1,78,7.0,0,2.3
SUR00351,District_1,1,90,7.5,0,4.6
SUR00352,District_1,1,79,7.6,0,8.5
SUR00353,District_1,1,100,7.1,0,4.6
SUR00354,District_1,1,74,7.7,0,6.9
SUR00355,District_1,1,75,5.2,0,5.0
SUR00356,District_1,1,67,5.4,0,6.5
SUR00357,District_1,1,93,9.3,0,5.8
SUR00358,District_1,1,67,7.5,0,5.1
SUR00359,District_1,1,77,7.4,0,7.2
SUR00360,District_1,1,48,5.5,0,5.6
SUR00361,District_1,1,92,5.1,1,4.4
SUR00362,District_1,1,85,8.0,0,6.3
SUR00363,District_1,1,74,9.2,0,9.2
SUR00364,District_1,1,74,6.5,0,5.2
SUR00365,District_1,1,80,7.9,0,6.3
SUR00366,District_1,1,100,8.9,0,7.8
SUR00367,District_1,1,71,7.2,0,6.5
SUR00368,District_1,1,80,9.1,0,3.8
SUR00369,District_1,1,61,7.1,0,4.3
SUR00370,District_1,1,88,7.9,1,3.1
SUR00371,District_1,1,91,9.7,0,6.1
SUR00372,District_1,1,66,8.5,0,4.0
SUR00373,District_1,1,72,7.4,1,5.1
SUR00374,District_1,1,92,6.8,0,6.9
SUR00375,District_1,1,79,8.9,0,6.1
SUR00376,District_1,1,58,8.3,1,3.4
SUR00377,District_1,1,89,8.4,0,6.2
SUR00378,District_1,1,72,7.8,0,6.3
SUR00379,District_1,1,63,8.6,0,9.1
SUR00380,District_1,1,84,6.5,0,6.7
SUR00381,District_1,1,100,6.7,0,8.1
SUR00382,District_1,1,77,6.5,1,9.8
SUR00383,District_1,1,74,8.3,0,8.7
SUR00384,District_1,1,57,6.8,0,4.5
SUR00385,District_1,1,60,6.6,0,6.1
SUR00386,District_1,1,51,7.8,1,10.0
SUR00387,District_1,1,65,6.4,0,4.9
SUR00388,District_1,1,67,8.2,0,6.4
SUR00389,District_1,1,66,6.9,0,8.2
SUR00390,District_1,1,73,9.3,0,7.2
SUR00391,District_1,1,75,9.2,0,5.6
SUR00392,District_1,1,63,9.6,0,8.2
SUR00393,District_1,1,75,6.3,0,4.0
SUR00394,District_1,1,83,7.3,0,5.8
SUR00395,District_1,1,88,8.9,0,7.3
SUR00396,District_2,0,36,5.4,0,3.2
SUR00397,District_2,0,69,6.2,0,5.6
SUR00398,District_2,0,60,4.6,0,6.2
SUR00399,District_2,0,69,6.0,1,7.0
SUR00400,District_2,0,78,7.1,0,7.2
SUR00401,District_2,0,55,5.6,0,4.5
SUR00402,District_2,0,32,3.3,1,5.4
SUR00403,District_2,0,56,5.1,0,8.0
SUR00404,District_2,0,55,4.4,0,6.1
SUR00405,District_2,0,67,2.4,0,7.1
SUR00406,District_2,0,40,3.2,1,6.0
SUR00407,District_2,0,33,7.6,1,2.8
SUR00408,District_2,0,46,4.6,0,3.8
SUR00409,District_2,0,71,4.8,1,1.3
SUR00410,District_2,0,55,3.4,0,3.8
SUR00411,District_2,0,48,7.9,0,3.2
SUR00412,District_2,0,50,5.7,0,3.0
SUR00413,District_2,0,51,4.6,0,3.8
SUR00414,District_2,0,67,6.2,1,2.7
SUR00415,District_2,0,54,6.9,0,2.1
SUR00416,District_2,0,77,2.2,0,6.0
SUR00417,District_2,0,51,6.8,0,3.1
SUR00418,District_2,0,50,3.9,0,3.7
SUR00419,District_2,0,64,2.8,0,6.4
SUR00420,District_2,0,52,8.0,0,2.8
SUR00421,District_2,0,87,5.6,0,5.6
SUR00422,District_2,0,42,4.2,1,1.9
SUR00423,District_2,0,47,7.7,0,4.4
SUR00424,District_2,0,27,4.4,0,5.4
SUR00425,District_2,0,69,3.7,0,3.1
SUR00426,District_2,0,77,6.3,0,6.1
SUR00427,District_2,0,56,2.9,0,5.1
SUR00428,District_2,0,72,5.2,0,4.8
SUR00429,District_2,0,31,3.1,0,6.2
SUR00430,District_2,0,63,3.5,1,5.7
SUR00431,District_2,0,59,5.9,0,4.2
SUR00432,District_2,0,79,3.7,1,1.5
SUR00433,District_2,0,60,6.2,1,7.7
SUR00434,District_2,0,60,2.1,0,3.3
SUR00435,District_2,0,47,4.8,0,1.0
SUR00436,District_2,0,65,4.3,0,7.2
SUR00437,District_2,0,33,4.8,0,5.3
SUR00438,District_2,0,46,4.5,1,4.3
SUR00439,District_2,0,48,5.6,1,4.1
SUR00440,District_2,0,24,5.7,1,5.8
SUR00441,District_2,0,60,4.5,0,8.2
SUR00442,District_2,0,30,4.4,0,3.5
SUR00443,District_2,0,67,5.7,0,2.7
SUR00444,District_2,0,37,5.8,0,3.8
SUR00445,District_2,0,50,2.0,0,1.7
SUR00446,District_2,0,63,3.2,0,3.9
SUR00447,District_2,0,82,3.3,0,6.5
SUR00448,District_2,0,44,4.4,0,4.5
SUR00449,District_2,0,42,2.3,0,5.0
SUR00450,District_2,0,67,5.7,0,6.0
SUR00451,District_2,0,55,3.7,1,3.7
SUR00452,District_2,0,60,6.1,1,2.1
SUR00453,District_2,0,57,4.1,0,3.9
SUR00454,District_2,0,51,6.3,0,4.0
SUR00455,District_2,0,48,4.6,1,5.7
SUR00456,District_2,0,75,4.8,0,5.6
SUR00457,District_2,0,33,6.0,1,1.0
SUR00458,District_2,0,31,4.4,0,1.4
SUR00459,District_2,0,38,2.7,0,6.3
SUR00460,District_2,0,76,2.8,0,2.1
SUR00461,District_2,0,80,6.4,0,6.1
SUR00462,District_2,0,64,3.3,0,1.0
SUR00463,District_2,0,25,4.5,0,7.4
SUR00464,District_2,0,61,7.0,0,4.3
SUR00465,District_2,0,50,4.2,1,6.3
SUR00466,District_2,0,38,4.0,0,4.5
SUR00467,District_2,0,72,5.4,0,7.0
SUR00468,District_2,0,71,6.9,1,6.9
SUR00469,District_2,0,43,7.4,0,4.0
SUR00470,District_2,0,66,4.0,0,1.6
SUR00471,District_2,0,43,5.8,0,1.1
SUR00472,District_2,0,53,4.9,0,2.5
SUR00473,District_2,0,33,5.0,0,2.6
SUR00474,District_2,0,41,5.7,0,7.0
SUR00475,District_2,0,32,5.5,1,3.3
SUR00476,District_2,0,45,3.6,0,4.9
SUR00477,District_2,0,27,3.6,0,1.5
SUR00478,District_2,0,89,7.3,0,3.6
SUR00479,District_2,0,43,4.3,0,4.3
SUR00480,District_2,0,56,5.9,0,4.2
SUR00481,District_2,0,59,7.2,1,1.9
SUR00482,District_2,0,29,4.8,0,5.4
SUR00483,District_2,0,59,7.0,0,5.7
SUR00484,District_2,0,41,4.1,0,3.7
SUR00485,District_2,0,55,6.5,0,1.0
SUR00486,District_2,0,51,5.2,0,5.3
SUR00487,District_2,0,47,4.7,0,4.7
SUR00488,District_2,0,41,6.2,0,6.7
SUR00489,District_2,0,69,4.8,0,2.3
SUR00490,District_2,0,72,4.1,1,7.4
SUR00491,District_2,0,60,2.7,0,3.3
SUR00492,District_2,0,57,5.9,1,8.2
SUR00493,District_2,0,38,6.0,0,2.9
SUR00494,District_2,0,58,7.6,0,4.9
SUR00495,District_2,0,46,5.7,0,1.0
SUR00496,District_2,0,26,3.9,0,3.8
SUR00497,District_2,0,44,5.2,0,3.9
SUR00498,District_2,0,49,4.9,0,4.9
SUR00499,District_2,0,65,6.7,0,3.6
SUR00500,District_2,0,54,6.7,0,3.9
SUR00501,District_2,0,49,8.4,0,6.2
SUR00502,District_2,0,50,4.9,0,3.0
SUR00503,District_2,0,64,6.8,1,3.4
SUR00504,District_2,0,37,7.2,0,4.9
SUR00505,District_2,0,53,6.2,0,4.4
SUR00506,District_2,0,67,4.4,1,3.9
SUR00507,District_2,0,53,4.6,1,4.3
SUR00508,District_2,0,49,6.2,0,1.8
SUR00509,District_2,0,49,5.9,0,7.7
SUR00510,District_2,0,25,3.4,0,3.2
SUR00511,District_2,0,54,3.6,1,2.6
SUR00512,District_2,0,34,5.8,0,4.6
SUR00513,District_2,0,52,1.9,0,2.1
SUR00514,District_2,0,43,5.4,1,3.5
SUR00515,District_2,0,79,4.2,1,6.4
SUR00516,District_2,0,47,3.8,0,4.2
SUR00517,District_2,0,20,4.4,1,2.9
SUR00518,District_2,0,50,5.4,0,2.1
SUR00519,District_2,0,31,5.0,0,4.8
SUR00520,District_2,0,57,3.3,0,2.6
SUR00521,District_2,0,64,2.6,0,2.5
SUR00522,District_2,0,38,5.3,0,4.8
SUR00523,District_2,0,56,5.7,0,5.7
SUR00524,District_2,0,54,6.1,0,2.9
SUR00525,District_2,0,36,2.7,0,1.4
SUR00526,District_2,0,44,5.4,0,3.5
SUR00527,District_2,0,71,5.9,0,5.3
SUR00528,District_2,0,49,4.3,0,4.8
SUR00529,District_2,0,46,4.5,0,2.9
SUR00530,District_2,0,53,4.4,0,4.9
SUR00531,District_2,0,47,4.2,0,2.9
SUR00532,District_2,0,49,6.8,0,2.2
SUR00533,District_2,0,58,4.2,0,6.8
SUR00534,District_2,0,53,4.0,0,6.3
SUR00535,District_2,0,88,1.9,0,2.5
SUR00536,District_2,0,74,5.9,0,5.1
SUR00537,District_2,0,52,3.9,0,1.7
SUR00538,District_2,0,55,3.9,0,6.8
SUR00539,District_2,0,36,7.2,0,5.4
SUR00540,District_2,0,43,3.3,0,4.6
SUR00541,District_2,0,51,2.9,0,1.8
SUR00542,District_2,0,66,2.9,0,6.1
SUR00543,District_2,0,56,2.9,0,4.8
SUR00544,District_2,0,55,4.0,0,5.1
SUR00545,District_2,0,46,4.9,1,6.3
SUR00546,District_2,0,34,4.5,1,5.3
SUR00547,District_2,0,41,6.2,0,2.0
SUR00548,District_2,0,43,5.6,0,6.2
SUR00549,District_2,0,59,5.3,1,2.8
SUR00550,District_2,0,73,5.5,0,3.6
SUR00551,District_2,0,39,5.8,0,3.6
SUR00552,District_2,0,53,4.8,0,1.8
SUR00553,District_2,0,76,7.2,0,2.8
SUR00554,District_2,0,49,4.1,0,2.2
SUR00555,District_2,0,63,4.2,0,2.3
SUR00556,District_2,0,33,3.8,1,4.0
SUR00557,District_2,0,80,3.8,0,5.6
SUR00558,District_2,0,42,3.3,0,7.6
SUR00559,District_2,0,40,3.4,0,5.2
SUR00560,District_2,0,76,4.7,0,7.2
SUR00561,District_2,0,64,4.7,0,2.1
SUR00562,District_2,0,40,4.3,1,7.4
SUR00563,District_2,0,57,3.8,0,3.6
SUR00564,District_2,0,59,6.8,0,8.2
SUR00565,District_2,0,34,7.1,0,2.5
SUR00566,District_2,0,36,6.0,0,6.1
SUR00567,District_2,0,64,5.4,0,2.0
SUR00568,District_2,0,60,7.1,0,2.2
SUR00569,District_2,0,35,5.4,1,8.2
SUR00570,District_2,0,50,3.1,1,2.7
SUR00571,District_2,0,61,3.6,1,4.6
SUR00572,District_2,0,53,5.1,0,2.1
SUR00573,District_2,0,47,5.9,0,4.3
SUR00574,District_2,0,40,6.9,0,7.9
SUR00575,District_2,0,58,6.8,0,4.7
SUR00576,District_2,0,50,6.3,0,3.2
SUR00577,District_2,0,49,6.5,0,3.5
SUR00578,District_2,0,53,4.6,1,4.0
SUR00579,District_2,0,64,4.5,0,4.3
