Simulation_ID,Staffing_Model,Patient_Volume,Base_Staffing_Cost,Overtime_Cost,Supply_Cost,Total_Operating_Cost,Reimbursements,Net_Margin,Margin_Percent,Patient_Satisfaction,Staff_Burnout_Index
99,Staffing_Model_A,126,43755.33,11022.56,7160.55,61938.44,87736.64,25798.2,29.4,52,6.3
281,Staffing_Model_B,90,51557.72,10133.27,7723.16,69414.15,73743.57,4329.42,5.87,95.4,3.9
169,Staffing_Model_B,118,52378.49,2978.14,6684.7,62041.34,96038.28,33996.94,35.4,85.6,5.6
47,Staffing_Model_A,92,42691.13,894.78,11135.11,54721.02,86846.5,32125.47,36.99,67.4,8.4
29,Staffing_Model_A,87,37768.8,11779.27,10366.97,59915.05,49644.74,-10270.3,-20.69,64.5,6.2
79,Staffing_Model_A,81,42440.94,13798.99,11672.67,67912.6,60558.92,-7353.69,-12.14,73.9,6.4
270,Staffing_Model_B,98,48720.23,6264.64,10295.27,65280.14,83309.07,18028.93,21.64,74,4.9
178,Staffing_Model_B,94,46881.97,4069.46,7809.42,58760.86,84007.88,25247.03,30.05,87.6,3.2
213,Staffing_Model_B,116,53187.14,2146.89,10537.57,65871.6,83494.34,17622.74,21.11,85.9,2.7
132,Staffing_Model_A,92,43674.6,22728.88,10107.58,76511.07,59078.6,-17432.46,-29.51,64.8,6.2
28,Staffing_Model_A,80,48737.81,17381.02,11190.74,77309.57,76484.76,-824.8,-1.08,81.5,8.1
59,Staffing_Model_A,60,40008.49,15814.13,10916.66,66739.28,60197.15,-6542.13,-10.87,85.5,10
37,Staffing_Model_A,97,46021.91,8691.02,10134.82,64847.75,47435.14,-17412.61,-36.71,99.1,9.9
219,Staffing_Model_B,102,51867.34,7023.37,11101.15,69991.86,72765.87,2774.01,3.81,84.7,5.3
194,Staffing_Model_B,104,54990.83,4303.99,6664.8,65959.62,76368.65,10409.04,13.63,85.5,3.5
269,Staffing_Model_B,83,52202.5,721.27,8358.75,61282.52,77554.31,16271.79,20.98,85.5,3.8
115,Staffing_Model_A,102,49091.43,14815.29,7573.27,71479.98,61702.7,-9777.29,-15.85,86.2,6.8
21,Staffing_Model_A,83,39730.64,5442.52,4967,50140.16,71992.17,21852.01,30.35,83.8,7.2
251,Staffing_Model_B,99,47202.66,1225.21,13301.38,61729.25,83664.76,21935.52,26.22,66.6,5.9
231,Staffing_Model_B,117,54170.35,6016.64,9301.04,69488.02,72311.72,2823.7,3.9,79.5,4.8
147,Staffing_Model_A,96,44470.95,11122.99,7394.82,62988.76,47321.11,-15667.65,-33.11,66.9,8.1
34,Staffing_Model_A,59,51837.23,12124.77,8026.5,71988.5,65896.25,-6092.25,-9.25,84.2,6.7
179,Staffing_Model_B,80,50797.46,3556.21,9901.41,64255.09,73659.61,9404.53,12.77,73.2,4.6
158,Staffing_Model_B,76,50060.42,3129.77,10384.58,63574.78,89054.78,25480,28.61,75.6,5.2
60,Staffing_Model_A,116,48083.54,10144.41,9874.26,68102.21,79669.76,11567.55,14.52,55.7,4.6
38,Staffing_Model_A,87,43541.74,9408.78,9260.54,62211.05,80864.62,18653.57,23.07,58.7,5.8
290,Staffing_Model_B,96,49692.05,5826.5,9786.01,65304.56,73778.25,8473.7,11.49,90.7,5.5
295,Staffing_Model_B,72,52567.07,5660.88,9484.39,67712.34,69679.14,1966.8,2.82,80.8,3.9
71,Staffing_Model_A,86,38155.16,5688.32,6520.1,50363.57,52832.46,2468.88,4.67,65.3,7.8
293,Staffing_Model_B,105,55437.39,2671.27,9069.58,67178.23,96434.14,29255.91,30.34,82.6,4.4
275,Staffing_Model_B,100,50034.1,5375.25,9345.55,64754.9,83023.63,18268.73,22,95.2,6.6
252,Staffing_Model_B,107,50940.82,2596.71,7843,61380.52,70737.2,9356.68,13.23,75.2,6.1
136,Staffing_Model_A,128,43226.64,13795.86,10189.98,67212.47,85400.53,18188.06,21.3,66.2,8.4
55,Staffing_Model_A,107,40014.12,1987.47,6472.21,48473.8,85481.6,37007.8,43.29,51.3,8.8
8,Staffing_Model_A,93,47854.16,5945.19,8413.04,62212.39,76522.52,14310.12,18.7,62,8.2
167,Staffing_Model_B,82,51423.14,9465,8420.56,69308.69,77336.91,8028.22,10.38,91.2,5.1
196,Staffing_Model_B,75,51717.39,3419.55,11987.53,67124.48,77568.77,10444.29,13.46,84.4,3.8
32,Staffing_Model_A,80,41700.99,23429.5,8980.99,74111.48,86083.34,11971.86,13.91,81.4,7.3
148,Staffing_Model_A,43,40285.87,19124.14,8429.34,67839.35,80328.44,12489.09,15.55,54.3,5.4
66,Staffing_Model_A,79,42936.42,8200.86,11238.94,62376.21,87670.8,25294.58,28.85,75.4,7.8
1,Staffing_Model_A,73,36885.88,11003.05,9257.72,57146.65,76813.28,19666.64,25.6,88.5,5.7
120,Staffing_Model_A,71,42146.71,9210.71,9606.42,60963.84,61508.54,544.7,0.89,87,8.7
183,Staffing_Model_B,89,53040.65,3902.97,7700.22,64643.84,75491.76,10847.92,14.37,71.9,4.9
25,Staffing_Model_A,106,39237.53,9584.58,4780.12,53602.24,59755.07,6152.83,10.3,56.2,8.7
31,Staffing_Model_A,61,44024.83,15242.99,6665.74,65933.57,76498.46,10564.89,13.81,74.3,6.2
161,Staffing_Model_B,71,54629.42,4850.53,8667.93,68147.88,71185.34,3037.46,4.27,82.6,4.5
181,Staffing_Model_B,83,52775.87,7212.38,9300.77,69289.02,73038.72,3749.7,5.13,81.5,5.3
285,Staffing_Model_B,107,57224.86,4805.56,13111.5,75141.91,65607.08,-9534.83,-14.53,85.7,5.4
134,Staffing_Model_A,96,45019.27,13038.51,6996.81,65054.58,82522.87,17468.29,21.17,63.1,8.2
54,Staffing_Model_A,69,45137.69,8733.86,10047.9,63919.45,76659.19,12739.73,16.62,82.2,5.8
83,Staffing_Model_A,86,42083.05,18128.71,5720.5,65932.26,68990.75,3058.5,4.43,78.1,6.7
130,Staffing_Model_A,58,48371.03,14697.97,10915.04,73984.04,80352.51,6368.48,7.93,72.4,7.2
217,Staffing_Model_B,95,47182.21,10882.31,9096.69,67161.22,89482.45,22321.24,24.94,76.1,4.8
51,Staffing_Model_A,66,38966.37,13762.97,6587.92,59317.26,62872.67,3555.41,5.65,69.8,7.4
12,Staffing_Model_A,65,40269.78,7878.37,7242.21,55390.36,74714.61,19324.24,25.86,92.9,7.4
116,Staffing_Model_A,64,42530.02,16855.92,8433.01,67818.95,80413.76,12594.81,15.66,71.8,7.2
215,Staffing_Model_B,53,53563.85,8441.21,10058.63,72063.68,80593.86,8530.17,10.58,95.7,4.4
230,Staffing_Model_B,80,49521.71,6111.78,5854.4,61487.89,95028.61,33540.72,35.3,77.3,4.5
206,Staffing_Model_B,117,55383.42,5879.43,8609.71,69872.56,96637.67,26765.11,27.7,90.4,5.4
274,Staffing_Model_B,82,52648.39,4791.55,9807.19,67247.13,71659.41,4412.28,6.16,96.5,5.2
188,Staffing_Model_B,89,52176.44,518.71,10507.58,63202.72,66405.43,3202.7,4.82,82.2,6.3
248,Staffing_Model_B,60,47875.65,5048.22,6723.39,59647.27,79304.54,19657.28,24.79,89.5,5
93,Staffing_Model_A,114,41871.15,12550.24,10532.1,64953.5,57384.93,-7568.56,-13.19,81.6,8.2
58,Staffing_Model_A,85,41052.51,6416.78,8190.16,55659.45,81747.99,26088.53,31.91,86.4,3.8
165,Staffing_Model_B,101,52011.64,6029.43,12334.05,70375.12,83051.93,12676.81,15.26,81.7,5
94,Staffing_Model_A,51,40273.09,16088.7,10039.53,66401.32,73966.02,7564.7,10.23,72.1,8.4
104,Staffing_Model_A,106,38527.99,10493.61,8472.91,57494.51,63990.55,6496.04,10.15,71.6,7.7
271,Staffing_Model_B,73,52751.72,655.91,9242.54,62650.17,62290.93,-359.25,-0.58,97.4,5
240,Staffing_Model_B,105,51026.21,5406.34,8425.68,64858.24,97980.56,33122.33,33.8,94.7,4.6
267,Staffing_Model_B,83,55408.77,7776.85,7688.32,70873.94,86370,15496.06,17.94,87.3,1.6
84,Staffing_Model_A,81,41199.42,13944.62,7128.27,62272.3,81812.27,19539.96,23.88,69.1,8.1
260,Staffing_Model_B,85,51019.36,5549.19,8923.2,65491.74,72218.91,6727.16,9.31,95.9,6.3
97,Staffing_Model_A,86,39711.04,9605.75,7563.22,56880,68569.94,11689.93,17.05,85.1,5
88,Staffing_Model_A,71,38193.6,14330.65,6457.42,58981.68,83534.15,24552.47,29.39,58,4.9
257,Staffing_Model_B,91,54385.3,1474.62,9311.46,65171.38,84112.09,18940.71,22.52,97,5
287,Staffing_Model_B,102,51548.31,6124.64,9800.42,67473.37,84307.3,16833.93,19.97,73.6,2.2
255,Staffing_Model_B,91,60009.86,4886.69,9074.21,73970.76,86399.92,12429.16,14.39,85.5,4
246,Staffing_Model_B,69,54461.75,4955.39,11540.93,70958.06,94475.7,23517.63,24.89,75.1,4.8
49,Staffing_Model_A,85,38839.33,15975.23,9496.51,64311.07,63947.98,-363.09,-0.57,50.9,5.9
225,Staffing_Model_B,93,48930.52,3150.74,6819.77,58901.03,68343.27,9442.24,13.82,84.1,5.1
128,Staffing_Model_A,73,44198.26,17404.03,7944.36,69546.65,79804.23,10257.58,12.85,40.6,6.2
283,Staffing_Model_B,74,52251.81,4923.97,10039.51,67215.28,91314.8,24099.52,26.39,95,5.4
176,Staffing_Model_B,81,52100.49,6535.38,10707.57,69343.45,97516.11,28172.66,28.89,80.3,3.6
96,Staffing_Model_A,96,45843.19,8663.05,13682.41,68188.66,67835.52,-353.14,-0.52,78.6,9.3
138,Staffing_Model_A,62,38263.79,8305.62,9624.4,56193.82,96769.17,40575.36,41.93,64,7.7
224,Staffing_Model_B,123,56147.3,3193.75,11152.28,70493.33,75751.02,5257.69,6.94,100,2.5
218,Staffing_Model_B,82,52841.26,5650.59,8336.72,66828.57,64399.64,-2428.93,-3.77,85.9,4
10,Staffing_Model_A,79,39583.11,12100.52,8656.43,60340.05,95363.07,35023.03,36.73,71.2,9.2
192,Staffing_Model_B,61,47899.84,5043.7,4525.52,57469.06,94960.29,37491.23,39.48,95.8,5.1
292,Staffing_Model_B,79,53115.71,3425.19,11864.45,68405.35,87756.14,19350.8,22.05,80.8,5.3
211,Staffing_Model_B,83,54084.83,4265.5,9625.43,67975.76,69914.22,1938.46,2.77,75.9,3.4
237,Staffing_Model_B,107,48545.17,1215.95,12717.33,62478.45,67765.26,5286.81,7.8,87.7,3.6
247,Staffing_Model_B,86,50476.59,792.06,10643.69,61912.34,71212.74,9300.4,13.06,100,4.1
91,Staffing_Model_A,71,44866.58,11783.14,9201.02,65850.74,94073.19,28222.46,30,79.9,6.2
124,Staffing_Model_A,73,40790.6,8886.47,6049.95,55727.02,66745,11017.98,16.51,72.8,5.5
7,Staffing_Model_A,90,43690.81,18295.65,5737.47,67723.93,57309.51,-10414.42,-18.17,57.5,6.9
3,Staffing_Model_A,96,44617.91,19979.71,9941.02,74538.64,57824.22,-16714.41,-28.91,72.9,7.3
203,Staffing_Model_B,70,55446.87,3877.38,7727.34,67051.59,88365.55,21313.96,24.12,85.9,4.7
174,Staffing_Model_B,76,49442.38,3817.55,10764.29,64024.21,84966.6,20942.38,24.65,86.8,3.9
288,Staffing_Model_B,78,45227.05,3537.26,12030.84,60795.14,80204.32,19409.18,24.2,86.9,6.1
205,Staffing_Model_B,66,53710.98,1316.41,8534.08,63561.47,75431.36,11869.89,15.74,81.5,2.1
249,Staffing_Model_B,62,52812.05,3210.09,7986.72,64008.86,79350.19,15341.33,19.33,72.2,5.6
67,Staffing_Model_A,97,47109.59,9335.55,10156.06,66601.2,60125.63,-6475.56,-10.77,86,5.1
19,Staffing_Model_A,102,43421.1,13706.7,8744.86,65872.66,69493.68,3621.02,5.21,81.7,5.8
86,Staffing_Model_A,69,44894.56,8142.95,9209.78,62247.28,63327.05,1079.77,1.71,55.2,10
175,Staffing_Model_B,55,60602.99,1152.65,10813.44,72569.08,101588.56,29019.47,28.57,77.1,6
256,Staffing_Model_B,87,48541.27,5730.97,9911.08,64183.32,96792.14,32608.82,33.69,89.8,5
64,Staffing_Model_A,84,37458.88,9026.99,9737,56222.87,67180.4,10957.53,16.31,69.9,3.1
103,Staffing_Model_A,48,43377.29,4949.47,10339.92,58666.67,61074.61,2407.94,3.94,76.1,6.5
145,Staffing_Model_A,106,41623.65,16146.82,9555.29,67325.76,89862.07,22536.32,25.08,67.9,6.3
57,Staffing_Model_A,74,38040.04,11830.87,9912.36,59783.26,61992.49,2209.23,3.56,65.2,9.5
263,Staffing_Model_B,92,50589.31,5347.76,9790.43,65727.49,78779.12,13051.63,16.57,82,4.9
41,Staffing_Model_A,87,45366.51,15510.09,9051.42,69928.02,67916.28,-2011.74,-2.96,53.8,6.9
30,Staffing_Model_A,106,42153.92,6661.77,10310.3,59126,71688.09,12562.1,17.52,93.7,7.3
197,Staffing_Model_B,62,51272.63,557.21,11707.02,63536.86,80188.26,16651.4,20.77,81.8,6.6
144,Staffing_Model_A,91,42753.13,10944.77,9487.46,63185.36,58066.54,-5118.82,-8.82,69.7,7.2
68,Staffing_Model_A,74,40546.19,16053,5065.01,61664.21,66151.59,4487.38,6.78,59.6,7.2
23,Staffing_Model_A,68,43653.16,26697.33,4116.55,74467.04,75434.35,967.31,1.28,69.5,6
39,Staffing_Model_A,91,39231.46,10780.63,7446.26,57458.35,53017.73,-4440.62,-8.38,58.3,7.8
114,Staffing_Model_A,91,41246.34,15006.5,5826.08,62078.92,64191.95,2113.03,3.29,77.8,7.3
300,Staffing_Model_B,109,55271.59,3409.27,7894.67,66575.53,69557.99,2982.46,4.29,85.7,3
14,Staffing_Model_A,89,34522.41,10337.59,6690.07,51550.06,72863.63,21313.56,29.25,69.6,9.5
142,Staffing_Model_A,72,40364.31,14228.12,5596.48,60188.91,68365.45,8176.54,11.96,72.7,9
195,Staffing_Model_B,98,49998.96,7774.78,12893.85,70667.59,93305.33,22637.74,24.26,91.8,6.5
289,Staffing_Model_B,90,54068.87,8555.57,8502.74,71127.18,78588.73,7461.55,9.49,85.1,3.4
233,Staffing_Model_B,82,49967.83,7587.16,11324.53,68879.52,69228.72,349.2,0.5,82,4.2
129,Staffing_Model_A,81,46764.09,9703.08,12281.52,68748.69,76511.93,7763.24,10.15,82.6,5.7
190,Staffing_Model_B,97,48333.95,3354.63,7458.78,59147.36,85874.15,26726.79,31.12,84.8,4.4
87,Staffing_Model_A,105,44263.48,18411.44,6217.35,68892.27,63765.72,-5126.54,-8.04,67.4,5.8
74,Staffing_Model_A,100,47049.64,6686.79,7608.4,61344.84,77987.88,16643.04,21.34,57.2,7.8
62,Staffing_Model_A,90,41158.43,9056.21,8478.96,58693.6,61780.39,3086.79,5,72.6,5.3
299,Staffing_Model_B,87,55342.48,2123.3,5866.58,63332.36,86701.55,23369.18,26.95,93.5,6.9
106,Staffing_Model_A,97,41063.3,14716.3,10234.8,66014.4,57225.15,-8789.25,-15.36,69.7,6.4
291,Staffing_Model_B,95,47562.13,1975.19,8388.18,57925.51,66230.16,8304.65,12.54,98,5
110,Staffing_Model_A,84,41466.41,12823.69,6603.79,60893.88,50870.61,-10023.27,-19.7,75.7,6.7
261,Staffing_Model_B,81,52556.63,5224.91,9226.51,67008.05,68748.01,1739.97,2.53,81.6,5.3
153,Staffing_Model_B,86,52034.72,3232.25,8085.72,63352.7,97103.93,33751.24,34.76,81.3,5.4
239,Staffing_Model_B,91,53912.13,302.15,9238.76,63453.03,65754.97,2301.94,3.5,88,1.2
155,Staffing_Model_B,86,58910.74,474.99,9911.47,69297.21,88251.29,18954.09,21.48,82.3,5.2
222,Staffing_Model_B,86,48958.76,3890.36,5270.11,58119.23,87295.87,29176.64,33.42,80.7,3.5
76,Staffing_Model_A,90,42770.98,6368.52,9265.66,58405.16,76960.7,18555.54,24.11,34.3,7.2
78,Staffing_Model_A,110,42850.92,16136.64,10202.44,69190.01,74803.29,5613.29,7.5,66.8,8.5
107,Staffing_Model_A,99,46642.67,9506.91,9263.71,65413.28,79733.83,14320.55,17.96,86.6,10
149,Staffing_Model_A,83,40381.4,10936.26,6210.77,57528.43,69690.1,12161.66,17.45,80.7,7.2
250,Staffing_Model_B,74,56109.51,1738.92,11697.08,69545.51,77320.84,7775.33,10.06,63.2,5.2
15,Staffing_Model_A,79,42937.43,13943.34,10401.26,67282.03,83387.74,16105.71,19.31,76.5,9.6
108,Staffing_Model_A,77,38641.03,10753.38,9814.1,59208.52,68991.87,9783.35,14.18,60.9,8.5
298,Staffing_Model_B,83,50748.57,5570.23,8797.34,65116.14,89140.84,24024.69,26.95,79,3.9
173,Staffing_Model_B,106,48963.09,700.38,6655.34,56318.81,71033.75,14714.94,20.72,97.2,4.1
166,Staffing_Model_B,44,52847.58,4525.92,9217.47,66590.97,62201.62,-4389.35,-7.06,81.6,3.6
200,Staffing_Model_B,103,57448.59,8549.39,10222.61,76220.59,84360.53,8139.93,9.65,79.5,3.8
272,Staffing_Model_B,60,48945.39,360.76,7773.22,57079.37,75952.95,18873.58,24.85,83.6,3.4
101,Staffing_Model_A,72,36841.61,9900.28,9531.12,56273.01,57471.21,1198.2,2.08,85.7,5.9
121,Staffing_Model_A,82,40353.89,18834.48,9726.25,68914.61,68372.12,-542.49,-0.79,73.8,7.2
11,Staffing_Model_A,49,40297.13,10950.4,10591.35,61838.87,58060.01,-3778.87,-6.51,58.8,6.6
109,Staffing_Model_A,71,40178.08,12197.61,10461.44,62837.14,74583.65,11746.52,15.75,63.2,7
182,Staffing_Model_B,97,53760.69,4535.99,8931.35,67228.02,65519.73,-1708.3,-2.61,80,6.7
81,Staffing_Model_A,91,39926.61,17735.92,6600.81,64263.33,83504.13,19240.8,23.04,71.5,6.8
159,Staffing_Model_B,83,54313.06,4655.75,7024.35,65993.16,67266.79,1273.63,1.89,84.5,5.5
226,Staffing_Model_B,81,48009.98,3552.86,9596.68,61159.52,81051.92,19892.4,24.54,73.7,4.6
243,Staffing_Model_B,73,54419.36,5478.87,7608.65,67506.87,75101.41,7594.54,10.11,93.2,2.8
156,Staffing_Model_B,62,54584.57,4513.11,9599.86,68697.53,91898.28,23200.75,25.25,75.3,3.5
208,Staffing_Model_B,74,56243.07,8044.15,10163.24,74450.46,70253.59,-4196.87,-5.97,83.5,5
294,Staffing_Model_B,99,46995.26,7745.1,13748.36,68488.72,77602.34,9113.62,11.74,98.9,4
137,Staffing_Model_A,85,38645.63,24503.71,7056.86,70206.21,78046.58,7840.37,10.05,66.4,8.6
277,Staffing_Model_B,77,51827.09,3633.42,7258.95,62719.45,77474.55,14755.1,19.05,77.2,5.6
278,Staffing_Model_B,79,50628.37,4049.63,5887.46,60565.46,79674.1,19108.63,23.98,80.9,4.5
77,Staffing_Model_A,89,46890.6,8606.67,11394.02,66891.3,70174.19,3282.89,4.68,81.1,8.2
262,Staffing_Model_B,97,50208.29,3720.36,9446.75,63375.4,66586.04,3210.64,4.82,77.7,5.4
143,Staffing_Model_A,83,45573.15,16145.51,9663.59,71382.25,85869.2,14486.95,16.87,71.4,5.5
33,Staffing_Model_A,101,41126.21,27514.74,6489.22,75130.17,86144.24,11014.07,12.79,87.1,6.7
27,Staffing_Model_A,78,38905.91,11143.6,7360.67,57410.18,80671.9,23261.72,28.83,70.7,10
146,Staffing_Model_A,101,38242.68,3273.91,8543.02,50059.61,81234.38,31174.77,38.38,57.5,7.8
259,Staffing_Model_B,96,45134.13,1384.38,9706.19,56224.7,71581.64,15356.94,21.45,81.6,5.9
286,Staffing_Model_B,102,51297.58,2024.33,6514.83,59836.74,77495.9,17659.16,22.79,94.4,5.6
16,Staffing_Model_A,120,48385.49,1450.64,9423.33,59259.46,78299.13,19039.67,24.32,78.7,9.1
154,Staffing_Model_B,101,55384.37,1983.44,11434.5,68802.31,60055.69,-8746.63,-14.56,89,5.1
48,Staffing_Model_A,107,42786.34,15390.8,9509.1,67686.25,78181.68,10495.43,13.42,61.3,8.2
44,Staffing_Model_A,75,39654.77,9971.73,8806.27,58432.77,78523.83,20091.06,25.59,83.2,4.3
280,Staffing_Model_B,84,52658.15,6492.84,9794.33,68945.32,77061.43,8116.1,10.53,81.7,2.3
141,Staffing_Model_A,72,44150.31,4773.26,5791.98,54715.55,85312.88,30597.33,35.86,83.1,4.5
216,Staffing_Model_B,95,53315.56,4568.84,9184.38,67068.78,73089.67,6020.89,8.24,77.9,5.7
235,Staffing_Model_B,63,51858.63,3164.69,7768.11,62791.44,75712.63,12921.19,17.07,87.4,4.2
186,Staffing_Model_B,60,56874.29,4759.69,5405.35,67039.34,68933.28,1893.94,2.75,83.2,1.9
191,Staffing_Model_B,72,46475.46,8111.32,6851.17,61437.95,83821.78,22383.83,26.7,89.7,5.3
127,Staffing_Model_A,90,43230.56,12122.2,5921.24,61274.01,87373.05,26099.04,29.87,60.6,5.1
72,Staffing_Model_A,69,43087.22,18543.27,8555.63,70186.12,68683.48,-1502.64,-2.19,84.3,6.6
112,Staffing_Model_A,104,42312.36,9060.02,9746.79,61119.18,81489.36,20370.18,25,73.5,6.1
122,Staffing_Model_A,67,39854.78,6576.87,9351.95,55783.6,74753.21,18969.61,25.38,87.4,7.3
6,Staffing_Model_A,114,35714.31,7446.15,8033.25,51193.7,72721.75,21528.05,29.6,71.5,8.5
157,Staffing_Model_B,98,55327.9,6006.02,9740.85,71074.76,76210.02,5135.25,6.74,87.1,2.9
223,Staffing_Model_B,96,52184.34,3171.85,7626.49,62982.69,87924.68,24942,28.37,88.1,5.2
264,Staffing_Model_B,95,49636.15,1966.83,9441.57,61044.55,70075.9,9031.35,12.89,88.8,2.2
140,Staffing_Model_A,118,42102.7,5325.34,4589.27,52017.31,62133.93,10116.62,16.28,46.4,7.5
284,Staffing_Model_B,86,52559.85,0,8578.99,61138.84,85218.18,24079.34,28.26,81.3,4.1
26,Staffing_Model_A,87,42940.19,14826.79,10116.98,67883.96,74306.91,6422.94,8.64,69,7.5
92,Staffing_Model_A,105,42271.27,15970.43,5725.22,63966.91,59719.17,-4247.74,-7.11,71.2,7.4
