Date,Region,Customer ID,Satisfaction Score,Feedback Length,Issue Resolved
10/31/30,North,CUST1105,90,300,Yes
11/30/30,East,CUST1106,61,434,No
12/31/30,South,CUST1107,89,391,No
1/31/31,South,CUST1108,97,282,No
2/28/31,West,CUST1109,94,230,No
3/31/31,North,CUST1110,61,396,Yes
4/30/31,West,CUST1111,64,191,No
5/31/31,West,CUST1112,91,123,No
6/30/31,South,CUST1113,69,111,No
7/31/31,West,CUST1114,97,142,No
8/31/31,South,CUST1115,96,477,No
9/30/31,West,CUST1116,81,106,Yes
10/31/31,South,CUST1117,100,,No
11/30/31,West,CUST1118,89,392,Yes
12/31/31,East,CUST1119,92,382,No
1/31/32,North,CUST1120,99,36,No
2/29/32,South,CUST1121,75,336,Yes
3/31/32,West,CUST1122,97,426,Yes
4/30/32,South,CUST1123,63,302,Yes
5/31/32,East,CUST1124,95,298,No
6/30/32,South,CUST1125,68,418,No
7/31/32,North,CUST1126,81,233,Yes
8/31/32,South,CUST1127,86,460,No
9/30/32,West,CUST1128,84,145,No
10/31/32,East,CUST1129,62,315,Yes
11/30/32,North,CUST1130,86,219,No
12/31/32,West,CUST1131,81,492,Yes
1/31/33,East,CUST1132,81,309,Yes
2/28/33,West,CUST1133,66,324,No
3/31/33,North,CUST1134,93,101,No
4/30/33,West,CUST1135,63,455,Yes
5/31/33,East,CUST1136,74,37,Yes
6/30/33,South,CUST1137,69,30,Yes
7/31/33,North,CUST1138,80,112,No
8/31/33,West,CUST1139,90,214,Yes
9/30/33,North,CUST1140,91,220,No
10/31/33,North,CUST1141,61,301,Yes
11/30/33,West,CUST1142,91,70,No
12/31/33,North,CUST1143,69,287,No
1/31/34,East,CUST1144,67,169,Yes
2/28/34,North,CUST1145,80,236,Yes
3/31/34,South,CUST1146,60,399,No
4/30/34,South,CUST1147,79,105,Yes
5/31/34,South,CUST1148,91,159,No
6/30/34,North,CUST1149,60,71,Yes
7/31/34,North,CUST1150,98,110,No
8/31/34,North,CUST1151,91,370,Yes
9/30/34,South,CUST1152,93,312,Yes
10/31/34,South,CUST1153,100,494,No
11/30/34,North,CUST1154,65,275,Yes
12/31/34,South,CUST1155,64,243,Yes
1/31/35,South,CUST1156,60,64,No
2/28/35,South,CUST1157,89,330,No
3/31/35,West,CUST1158,88,361,Yes
4/30/35,East,CUST1159,84,77,Yes
5/31/35,East,CUST1160,75,339,No
6/30/35,South,CUST1161,92,426,No
7/31/35,West,CUST1162,92,409,No
8/31/35,North,CUST1163,93,52,No
9/30/35,East,CUST1164,67,264,Yes
10/31/35,South,CUST1165,86,168,No
11/30/35,West,CUST1166,92,21,Yes
12/31/35,West,CUST1167,87,74,Yes
1/31/36,North,CUST1168,62,411,No
2/29/36,East,CUST1169,83,146,Yes
3/31/36,North,CUST1170,80,126,No
4/30/36,South,CUST1171,71,443,Yes
5/31/36,South,CUST1172,74,263,Yes
6/30/36,North,CUST1173,94,444,Yes
7/31/36,East,CUST1174,88,168,No
8/31/36,East,CUST1175,96,117,Yes
9/30/36,North,CUST1176,88,361,Yes
10/31/36,West,CUST1177,65,414,No
11/30/36,South,CUST1178,87,479,Yes
12/31/36,West,CUST1179,88,89,No
1/31/37,West,CUST1180,63,357,Yes
2/28/37,East,CUST1181,71,54,Yes
3/31/37,West,CUST1182,93,76,No
4/30/37,North,CUST1183,70,331,No
5/31/37,West,CUST1184,69,382,Yes
6/30/37,South,CUST1185,73,304,Yes
7/31/37,East,CUST1186,93,407,Yes
8/31/37,South,CUST1187,82,376,Yes
9/30/37,North,CUST1188,78,365,No
10/31/37,East,CUST1189,88,143,Yes
11/30/37,East,CUST1190,89,134,Yes
12/31/37,North,CUST1191,91,244,No
1/31/38,East,CUST1192,78,420,Yes
2/28/38,South,CUST1193,86,490,Yes
3/31/38,East,CUST1194,69,321,Yes
4/30/38,South,CUST1195,62,344,No
5/31/38,West,CUST1196,90,150,No
6/30/38,East,CUST1197,60,476,Yes
7/31/38,North,CUST1198,82,106,No
8/31/38,North,CUST1199,70,159,No
9/30/38,North,CUST1200,75,370,Yes
10/31/38,South,CUST1201,88,198,No
11/30/38,West,CUST1202,100,169,Yes
12/31/38,West,CUST1203,85,77,Yes
1/31/39,North,CUST1204,97,237,Yes
2/28/39,East,CUST1205,89,449,No
3/31/39,East,CUST1206,83,89,Yes
4/30/39,East,CUST1207,98,86,Yes
5/31/39,North,CUST1208,86,496,Yes
6/30/39,North,CUST1209,87,281,Yes
7/31/39,East,CUST1210,79,450,No
8/31/39,South,CUST1211,67,95,Yes
9/30/39,South,CUST1212,91,216,Yes
10/31/39,North,CUST1213,79,443,No
11/30/39,South,CUST1214,99,128,No
12/31/39,West,CUST1215,87,71,No
1/31/40,South,CUST1216,86,429,Yes
2/29/40,West,CUST1217,,91,No
3/31/40,North,CUST1218,69,159,Yes
4/30/40,East,CUST1219,94,63,Yes
5/31/40,North,CUST1220,100,355,Yes
6/30/40,West,CUST1221,75,37,Yes
7/31/40,North,CUST1222,99,41,No
8/31/40,West,CUST1223,87,484,No
9/30/40,West,CUST1224,60,267,Yes
10/31/40,East,CUST1225,81,491,No
11/30/40,South,CUST1226,96,54,No
12/31/40,South,CUST1227,70,95,Yes
1/31/41,West,CUST1228,65,139,No
2/28/41,South,CUST1229,63,252,No
3/31/41,North,CUST1230,73,468,No
4/30/41,East,CUST1231,85,40,No
5/31/41,South,CUST1232,74,,No
6/30/41,South,CUST1233,98,346,No
7/31/41,South,CUST1234,70,433,Yes
8/31/41,South,CUST1235,71,114,No
9/30/41,West,CUST1236,65,195,Yes
10/31/41,West,CUST1237,100,121,No
11/30/41,South,CUST1238,60,441,No
12/31/41,North,CUST1239,90,373,No
1/31/42,West,CUST1240,80,291,No
2/28/42,East,CUST1241,66,414,Yes
3/31/42,South,CUST1242,84,462,No
4/30/42,East,CUST1243,66,407,No
5/31/42,East,CUST1244,74,158,No
6/30/42,South,CUST1245,62,474,No
7/31/42,West,CUST1246,66,392,Yes
8/31/42,East,CUST1247,79,385,No
9/30/42,North,CUST1248,74,437,Yes
10/31/42,East,CUST1249,96,320,Yes
11/30/42,North,CUST1250,89,312,No
12/31/42,North,CUST1251,64,202,No
1/31/43,East,CUST1252,61,358,Yes
2/28/43,North,CUST1253,68,142,No
3/31/43,North,CUST1254,80,372,Yes
4/30/43,West,CUST1255,73,64,Yes
5/31/43,East,CUST1256,82,91,Yes
6/30/43,North,CUST1257,63,187,Yes
7/31/43,North,CUST1258,76,408,No
8/31/43,West,CUST1259,78,405,Yes
9/30/43,North,CUST1260,77,92,No
10/31/43,South,CUST1261,76,265,Yes
11/30/43,West,CUST1262,68,448,No
12/31/43,South,CUST1263,94,377,Yes
1/31/44,East,CUST1264,87,264,No
2/29/44,East,CUST1265,89,274,Yes
3/31/44,South,CUST1266,74,482,No
4/30/44,West,CUST1267,93,494,No
5/31/44,West,CUST1268,65,242,Yes
6/30/44,South,CUST1269,73,316,No
7/31/44,South,CUST1270,61,106,Yes
8/31/44,East,CUST1271,64,425,No
9/30/44,South,CUST1272,81,393,No
10/31/44,West,CUST1273,70,75,No
11/30/44,South,CUST1274,60,399,Yes
12/31/44,South,CUST1275,79,85,No
1/31/45,West,CUST1276,86,394,Yes
2/28/45,North,CUST1277,78,211,Yes
3/31/45,North,CUST1278,65,451,No
4/30/45,East,CUST1279,93,132,No
5/31/45,East,CUST1280,99,325,No
6/30/45,West,CUST1281,75,205,No
7/31/45,South,CUST1282,96,309,No
8/31/45,North,CUST1283,79,169,No
9/30/45,West,CUST1284,88,220,Yes
10/31/45,North,CUST1285,93,386,No
11/30/45,South,CUST1286,89,458,No
12/31/45,South,CUST1287,68,334,No
1/31/46,North,CUST1288,78,438,No
2/28/46,South,CUST1289,94,220,No
3/31/46,North,CUST1290,89,243,No
4/30/46,South,CUST1291,94,460,No
5/31/46,West,CUST1292,69,413,Yes
6/30/46,North,CUST1293,64,146,Yes
7/31/46,East,CUST1294,79,118,No
8/31/46,West,CUST1295,79,372,No
9/30/46,East,CUST1296,99,155,No
10/31/46,North,CUST1297,90,306,Yes
11/30/46,East,CUST1298,83,204,Yes
12/31/46,East,CUST1299,98,173,Yes
