Account_ID,Contract_Value_USD,Tenure_Months,Support_Tickets_12Mo,Satisfaction_Score,Churn_Status
A-0080,24586.44,49,5,6,Churned
A-0081,35673.59,41,5,5.7,Retained
A-0082,59870.77,54,6,4.8,Churned
A-0083,66883.3,69,3,6.7,Retained
A-0084,93997.15,27,6,4.1,Churned
A-0085,59206.57,8,11,1,Churned
A-0086,96885.11,32,5,6.1,Retained
A-0087,78018.09,64,6,5.5,Retained
A-0088,22440.97,10,5,6.8,Retained
A-0089,27196.46,13,5,4.9,Churned
A-0090,58073.71,63,2,7.9,Retained
A-0091,53657.83,35,10,2.3,Churned
A-0092,91789.87,61,2,8.3,Retained
A-0093,73881.09,54,2,8.1,Retained
A-0094,52694.64,8,2,7.5,Retained
A-0095,28783.63,29,3,6.4,Retained
A-0096,34952.08,41,3,7.5,Retained
A-0097,73305.11,30,3,7.2,Churned
A-0098,56578.27,21,3,6.2,Retained
A-0099,66642.03,11,7,3.2,Churned
A-0100,28774.52,2,5,5.3,Churned
A-0101,82919.69,50,6,6.1,Retained
A-0102,103779.26,41,1,8.8,Retained
A-0103,38373.35,66,4,5.2,Retained
A-0104,64066.56,3,3,5.8,Retained
A-0105,117308.01,51,7,5.3,Churned
A-0106,46656.59,68,4,5.2,Churned
A-0107,75455.1,25,3,7.1,Retained
A-0108,19921.53,30,7,3.8,Churned
A-0109,76661.65,11,1,9.2,Retained
A-0110,19859.5,17,4,5.5,Retained
A-0111,115515.9,26,3,7.6,Retained
A-0112,88722.89,23,5,5.6,Churned
A-0113,96697.58,56,2,7.5,Retained
A-0114,87451.48,52,4,4.5,Churned
A-0115,74870.19,48,4,4.3,Churned
A-0116,59490.41,20,4,5.9,Retained
A-0117,104421.07,2,6,5.1,Churned
A-0118,115251.92,31,8,2.8,Churned
A-0119,64893.98,27,5,4.6,Retained
A-0120,112468.86,2,3,7.1,Retained
A-0121,74166.62,4,4,6.6,Retained
A-0122,69222.26,13,4,6,Churned
A-0123,59993.1,35,4,6.7,Churned
A-0124,33021.65,66,7,3.4,Churned
A-0125,10409.16,6,5,5.2,Churned
A-0126,36565.68,31,5,6.8,Retained
A-0127,66069.55,10,6,5,Churned
A-0128,51795.59,21,2,7.4,Retained
A-0129,59333.38,23,7,6.1,Churned
A-0130,117871.3,3,3,5.6,Churned
A-0131,48529.96,32,5,6.1,Retained
A-0132,59740.12,20,2,8.6,Retained
A-0133,24686.71,29,4,5.8,Churned
A-0134,15275.35,52,6,5.6,Retained
A-0135,95295.05,46,6,4.1,Churned
A-0136,72775.15,34,0,8,Retained
A-0137,93677.53,61,0,8.8,Churned
A-0138,26484.91,71,2,7.9,Retained
A-0139,72901.16,70,4,7,Retained
A-0140,37900.67,11,3,8,Retained
A-0141,35086.8,63,4,6,Churned
A-0142,11267.86,21,3,7.7,Retained
A-0143,24337.48,3,8,3.4,Churned
A-0144,44019.49,10,6,5.6,Retained
A-0145,22856.66,27,3,6.9,Retained
A-0146,118444.43,12,0,8.9,Retained
A-0147,43949.59,7,2,7.6,Retained
A-0148,24335.63,17,3,5.4,Churned
A-0149,31899.05,65,6,4,Churned
A-0150,74647.36,64,3,6.8,Retained
A-0151,17044.79,26,4,4.8,Churned
A-0152,104867.75,15,9,3.8,Churned
A-0153,115764.96,33,7,5,Churned
A-0154,37142.22,62,3,7,Retained
A-0155,59510.48,47,2,6.4,Churned
A-0156,12434.79,35,2,8.4,Retained
A-0157,80478.12,65,2,8.9,Retained
A-0158,55531.87,25,4,6.2,Churned
A-0159,39706.43,57,6,5.3,Churned
A-0160,32752.08,32,3,6.9,Retained
A-0161,81942.54,63,3,7.1,Retained
A-0162,55783.87,12,5,5.4,Churned
A-0163,29762.52,63,5,5.5,Churned
A-0164,85802,1,5,6.2,Churned
A-0165,72157.95,51,7,6.2,Retained
A-0166,104453.93,70,3,5.6,Retained
A-0167,22922.35,8,2,7.2,Retained
A-0168,96423.33,68,1,7,Retained
A-0169,84086.85,5,6,6.2,Retained
A-0170,22651.2,39,4,5.6,Retained
A-0171,86430.28,23,4,4.9,Churned
A-0172,58570.2,68,6,5.4,Churned
A-0173,113948.33,52,1,9.3,Retained
A-0174,25577.25,4,4,6.6,Retained
A-0175,80711.67,47,3,6.9,Retained
A-0176,52017.81,21,4,6.4,Retained
A-0177,115249.61,56,4,7.2,Retained
A-0178,46297.24,66,4,5.4,Churned
A-0179,115840.45,59,2,7.2,Retained
A-0180,109163.44,7,2,6.9,Retained
A-0181,39742.16,49,7,3.4,Churned
A-0182,98389.6,16,7,4,Churned
A-0183,119516.46,17,2,8.2,Retained
A-0184,37792.93,34,5,6,Retained
A-0185,58045.49,33,3,7.2,Retained
A-0186,67219.88,26,4,6.2,Retained
A-0187,42442.42,66,1,8.3,Retained
A-0188,11679.13,63,3,6.1,Retained
A-0189,34214.22,41,5,5.3,Churned
A-0190,41013.06,58,2,7.5,Retained
A-0191,58795.97,10,4,6.3,Retained
A-0192,28821.27,15,5,5.8,Retained
A-0193,106057.98,42,2,7.2,Retained
A-0194,87540.22,57,5,5.2,Churned
A-0195,19372.05,17,4,8.6,Retained
A-0196,81510.17,60,3,7.4,Retained
A-0197,81902.21,9,4,6.4,Churned
A-0198,115184.33,36,5,5.3,Churned
A-0199,10332.3,36,5,5.1,Churned
A-0200,37272.57,48,6,4.8,Churned
A-0201,112057.06,51,0,8.7,Retained
A-0202,112534.73,70,3,5.2,Churned
A-0203,89264.51,68,4,4.8,Churned
A-0204,94233.97,22,2,6.8,Retained
A-0205,20063.13,6,6,5.1,Churned
A-0206,66526.34,26,3,6.5,Retained
A-0207,35474.13,3,5,6.7,Churned
A-0208,29933.98,52,1,6.7,Retained
A-0209,99133.36,60,2,6.7,Retained
A-0210,24854.2,63,3,7.9,Retained
A-0211,61551.68,65,3,6.8,Retained
A-0212,113243.61,52,3,7.4,Churned
A-0213,30441.53,14,3,8.3,Retained
A-0214,117579.28,68,4,5.5,Retained
A-0215,119371.68,28,7,4.2,Churned
A-0216,71117.89,71,4,5.9,Retained
A-0217,28715.7,10,6,3.3,Churned
A-0218,44771.54,57,5,5.3,Churned
A-0219,56694.21,66,1,8.6,Retained
A-0220,44025.66,50,2,7.7,Retained
A-0221,40869.91,14,6,5.4,Retained
A-0222,116945.27,16,3,6.4,Churned
A-0223,26870.13,54,6,4.4,Churned
A-0224,90666.07,43,7,5.3,Retained
A-0225,10045.13,42,5,5.1,Churned
A-0226,75580.09,22,7,4.5,Churned
A-0227,110753.73,68,2,7.4,Retained
A-0228,41672.75,19,8,4.9,Churned
A-0229,30407.86,66,7,5.1,Churned
A-0230,81684.78,39,4,5.1,Churned
A-0231,88386.15,19,5,4.5,Churned
A-0232,85683.36,16,1,8.4,Retained
A-0233,45124.86,54,3,6.6,Retained
A-0234,37742.26,25,3,6.3,Churned
A-0235,115151.07,18,2,8.1,Retained
A-0236,111562.95,23,5,5.6,Churned
A-0237,60304.83,11,5,5.5,Churned
A-0238,103081.33,39,2,7.9,Retained
A-0239,59755.58,68,6,4.6,Churned
A-0240,56682.79,25,1,9.2,Retained
A-0241,27243.92,63,4,5.5,Churned
A-0242,56904.67,30,1,8.4,Retained
A-0243,69115.86,45,1,9,Retained
A-0244,12475.48,61,3,5.6,Retained
A-0245,58852.43,51,3,6.4,Retained
A-0246,95949.18,9,1,8.8,Retained
A-0247,84805.07,2,5,6.4,Churned
A-0248,79867.27,5,6,4.8,Churned
A-0249,110051.1,62,0,7.9,Retained
A-0250,11983.52,69,2,8.1,Retained
A-0251,71275.23,52,5,6.4,Retained
A-0252,96608.37,5,3,5.8,Churned
A-0253,69546.89,59,5,4.5,Churned
A-0254,45628.51,68,2,7.5,Retained
A-0255,24987.56,9,6,5.4,Churned
A-0256,107631.94,22,4,5.9,Retained
A-0257,61783.86,27,2,7.8,Retained
A-0258,106592.67,10,4,5.5,Churned
A-0259,74443.73,61,6,3.2,Churned
A-0260,84161.13,51,5,5.2,Churned
A-0261,98468.73,10,5,5.6,Churned
A-0262,82507.11,6,6,4.7,Churned
A-0263,53786.03,62,4,5.2,Churned
A-0264,66499.67,5,8,2.2,Churned
A-0265,98335.01,70,0,8.1,Retained
A-0266,51101.53,63,2,8,Retained
A-0267,52693.36,56,1,8.9,Retained
A-0268,20525.91,59,1,8.9,Retained
A-0269,110604.29,63,6,4.2,Churned
A-0270,20013.99,59,8,2.8,Churned
A-0271,81303.01,51,3,7.1,Retained
A-0272,55451.39,50,3,7.2,Retained
A-0273,54618.13,4,8,4,Churned
A-0274,84750.7,48,4,4.5,Churned
A-0275,17380.31,32,3,6,Churned
A-0276,75307.64,51,9,3.1,Churned
A-0277,94923.5,52,2,7.7,Retained
A-0278,101103.4,34,5,6.1,Churned
A-0279,28758.34,36,5,5.6,Churned
A-0280,108716.1,70,4,6.4,Churned
A-0281,82176.07,43,3,6.8,Retained
A-0282,107004.03,16,6,5.4,Churned
A-0283,63380.88,59,3,7,Churned
A-0284,69623.67,53,2,7.4,Retained
A-0285,111094.21,19,1,7.7,Retained
A-0286,108990.05,41,2,7.4,Retained
A-0287,59297.7,47,1,8.3,Retained
A-0288,40185.39,54,3,6.9,Retained
A-0289,53248.75,55,8,4,Churned
A-0290,52654.08,19,1,9,Retained
A-0291,41555.36,62,4,6.3,Churned
A-0292,39543.76,59,8,3.2,Churned
A-0293,104716.92,65,3,7.4,Retained
A-0294,17684.81,68,3,5.6,Churned
A-0295,84537.23,28,7,3.4,Churned
A-0296,29010.21,18,4,6.4,Churned
A-0297,47895.65,26,2,7.7,Retained
A-0298,16769.73,19,1,6.9,Churned
A-0299,39697.1,55,7,4,Churned
A-0300,94526.32,57,5,5,Churned
A-0301,107351.69,6,2,6.9,Retained
A-0302,34367.99,1,6,5.7,Churned
A-0303,60990.26,8,3,7.3,Retained
A-0304,61735.65,51,3,6.7,Retained
A-0305,106093.28,25,1,7.5,Churned
A-0306,93907.9,47,5,4.4,Churned
A-0307,66438.49,55,3,7.8,Retained
A-0308,83782.19,64,4,6.6,Retained
A-0309,103209.06,10,4,5.5,Churned
A-0310,11049.28,56,7,4.9,Churned
A-0311,54317.9,12,4,6,Retained
A-0312,109796.75,33,3,6.5,Retained
A-0313,91434.43,71,2,7.6,Retained
A-0314,69712.55,17,2,6.7,Churned
A-0315,68260.9,61,2,7,Retained
A-0316,48254.71,10,4,6.2,Retained
A-0317,67257.26,31,4,5.7,Churned
A-0318,82092.15,60,4,6.6,Retained
A-0319,56019.93,70,4,7.6,Retained
A-0320,88556.85,17,5,4.9,Churned
A-0321,104735.54,50,3,5.4,Retained
A-0322,27015.33,37,3,5.1,Retained
A-0323,59670.17,62,1,7.8,Retained
A-0324,54882.21,29,6,4.4,Churned
A-0325,85621.13,32,6,5.1,Churned
A-0326,37485.42,11,5,5.6,Retained
A-0327,80427.6,6,4,4.8,Churned
A-0328,106523.82,35,3,5.2,Churned
A-0329,55994.48,33,2,7.5,Retained
A-0330,110211.73,18,3,6.8,Retained
A-0331,119248.01,37,4,5.8,Churned
A-0332,21670.13,13,4,4.8,Churned
A-0333,35635.85,64,4,6.5,Retained
A-0334,114541.77,1,8,4.7,Churned
A-0335,115416.05,63,3,6.9,Retained
A-0336,20747.8,34,4,5.4,Churned
A-0337,11649.84,10,3,6.7,Retained
A-0338,27721,7,5,4.4,Churned
A-0339,119561.41,56,6,5.7,Churned
A-0340,29799.96,37,7,4.4,Churned
A-0341,65280.24,29,7,2.9,Churned
A-0342,103325.95,12,3,6.5,Retained
A-0343,12244.18,17,3,7.1,Retained
A-0344,76493.79,48,3,6.4,Retained
A-0345,40472.8,26,3,6.5,Retained
A-0346,104856.84,12,7,3.3,Churned
A-0347,41180.73,21,4,6.6,Retained
A-0348,85543.13,42,5,5,Churned
A-0349,84164.16,61,2,5.6,Retained
A-0350,34364.29,58,5,5.2,Churned
A-0351,13827.91,54,6,5.7,Churned
A-0352,55017.45,34,10,2.2,Churned
A-0353,41811.25,7,2,8.7,Retained
A-0354,98987.55,35,6,5.2,Churned
A-0355,98040.06,15,7,4.6,Churned
A-0356,60272.63,65,3,6.6,Retained
A-0357,76716.34,25,5,5.4,Retained
A-0358,76468.55,59,2,7.1,Churned
A-0359,100987.4,6,4,5.9,Churned
A-0360,56750.27,52,3,7.1,Retained
A-0361,40299.13,21,3,6,Churned
A-0362,39153.84,71,1,7,Churned
A-0363,68981.15,32,6,4,Churned
A-0364,59406.3,53,3,8.3,Retained
A-0365,58413.28,59,7,4.7,Churned
A-0366,20025.11,69,6,5.1,Churned
A-0367,89046.41,62,3,5.9,Churned
A-0368,33511.04,4,3,7.2,Retained
A-0369,31664.9,18,2,7.2,Retained
A-0370,55403.42,56,4,6.3,Churned
A-0371,35055.62,24,5,4.7,Retained
A-0372,74224.41,66,6,5,Retained
A-0373,50860.97,13,5,5.2,Churned
A-0374,59380.29,62,1,7.3,Retained
A-0375,69088.63,54,8,4.3,Churned
A-0376,32388.91,15,8,2.5,Churned
A-0377,27132.68,69,3,7.2,Retained
A-0378,106846.41,3,6,5.4,Churned
A-0379,57709.61,37,4,5.4,Churned
A-0380,55330.3,37,3,6,Retained
A-0381,13917.34,3,7,4.1,Churned
A-0382,64777.39,63,3,6.9,Retained
A-0383,70958.67,35,4,6,Churned
A-0384,71472.5,52,7,4.6,Churned
A-0385,87773.43,28,4,7.5,Retained
A-0386,29523,18,6,4.5,Churned
A-0387,37744.54,36,5,4.1,Churned
A-0388,99180.35,33,11,2.6,Churned
A-0389,114188.77,64,3,8,Retained
A-0390,24952.6,26,4,6.4,Retained
A-0391,64741.45,48,2,6.4,Retained
A-0392,33559.39,40,3,6.6,Retained
A-0393,16608.05,17,0,7.6,Retained
A-0394,45805.37,40,5,6,Retained
A-0395,25805.64,7,5,4.4,Churned
A-0396,88092.64,57,2,7.1,Retained
A-0397,68709.8,8,3,5.9,Churned
A-0398,25821.79,56,6,5,Churned
A-0399,11016.57,31,3,6.4,Retained
A-0400,98897.28,59,4,6.2,Churned
A-0401,29381.38,58,5,5.5,Churned
A-0402,76683.83,12,2,6.5,Retained
A-0403,47061.41,48,4,6.6,Retained
A-0404,74403.45,31,4,6.1,Retained
A-0405,44721.9,63,6,4.1,Churned
A-0406,19563.35,39,3,8.5,Retained
A-0407,34524.5,20,3,7.1,Retained
A-0408,30686.44,48,5,5.4,Retained
A-0409,57082.13,71,4,7.2,Retained
A-0410,82411.22,54,5,7,Retained
A-0411,39018.67,71,6,4.8,Churned
A-0412,11327.69,29,5,5.8,Churned
A-0413,67083.11,48,1,7.1,Retained
A-0414,76633.54,56,5,5.4,Churned
A-0415,115915.75,17,4,5.9,Retained
A-0416,74841.79,9,0,8.6,Retained
A-0417,61828.98,34,5,5.8,Retained
A-0418,73074.18,45,3,7.1,Retained
A-0419,112069.07,9,4,6.3,Retained
A-0420,101121.6,7,4,5.1,Churned
